E_GPa,PR,SH_MPa/km,Sh_MPa/km,Sv_MPa/km,SH_azi_deg,A_m2,PORO_file,PERMX_file,beta,cos_2beta,sin_2beta,sigma_x_grad,sigma_y_grad,tau_xy_grad,sigma_x_ref,sigma_y_ref,sigma_z_ref,tau_xy_ref
20407195.14,0.39,-19.11,-5.99,-13.03,319.20,16846693.62,data_properties/JD_BASECASE_265_PORO.dat,data_properties/JD_BASECASE_265_PERMX.dat,229.20,-0.15,0.99,-11.59,-13.51,6.49,7782.19,9069.34,8745.98,-4355.96
24671410.66,0.21,-19.28,-6.92,-11.91,319.42,16995429.20,data_properties/JD_BASECASE_266_PORO.dat,data_properties/JD_BASECASE_266_PERMX.dat,229.42,-0.15,0.99,-12.15,-14.05,6.11,8157.34,9431.94,7996.13,-4098.72
17476764.47,0.35,-19.51,-5.93,-12.37,319.65,15663316.39,data_properties/JD_BASECASE_270_PORO.dat,data_properties/JD_BASECASE_270_PERMX.dat,229.65,-0.16,0.99,-11.62,-13.82,6.70,7802.04,9274.79,8301.91,-4498.74
24012886.83,0.24,-19.44,-6.22,-12.30,319.51,15343547.78,data_properties/JD_BASECASE_272_PORO.dat,data_properties/JD_BASECASE_272_PERMX.dat,229.51,-0.16,0.99,-11.79,-13.87,6.53,7917.07,9309.92,8260.67,-4385.54
22021317.11,0.36,-19.45,-6.06,-12.13,319.33,15462699.57,data_properties/JD_BASECASE_274_PORO.dat,data_properties/JD_BASECASE_274_PERMX.dat,229.33,-0.15,0.99,-11.75,-13.76,6.62,7886.56,9240.59,8142.47,-4441.12
16496022.56,0.39,-18.94,-5.86,-11.43,319.78,17392703.29,data_properties/JD_BASECASE_277_PORO.dat,data_properties/JD_BASECASE_277_PERMX.dat,229.78,-0.17,0.99,-11.31,-13.48,6.45,7595.28,9052.42,7676.02,-4327.32
22845090.05,0.40,-19.71,-6.05,-11.99,312.73,17883813.11,data_properties/JD_BASECASE_280_PORO.dat,data_properties/JD_BASECASE_280_PERMX.dat,222.73,0.08,1.00,-13.42,-12.34,6.81,9010.47,8283.86,8049.48,-4573.74
18774759.66,0.24,-19.70,-6.49,-12.63,319.14,18637666.64,data_properties/JD_BASECASE_281_PORO.dat,data_properties/JD_BASECASE_281_PERMX.dat,229.14,-0.14,0.99,-12.15,-14.05,6.54,8154.17,9429.70,8476.93,-4387.39
24622960.92,0.27,-17.28,-6.46,-12.31,317.56,16516440.12,data_properties/JD_BASECASE_282_PORO.dat,data_properties/JD_BASECASE_282_PERMX.dat,227.56,-0.09,1.00,-11.39,-12.35,5.39,7643.16,8291.83,8265.66,-3616.58
21040673.68,0.23,-16.69,-7.14,-12.10,319.19,17600805.34,data_properties/JD_BASECASE_285_PORO.dat,data_properties/JD_BASECASE_285_PERMX.dat,229.19,-0.15,0.99,-11.22,-12.61,4.72,7532.64,8466.61,8125.56,-3168.79
19532627.64,0.35,-19.06,-6.55,-11.88,319.40,18150360.78,data_properties/JD_BASECASE_286_PORO.dat,data_properties/JD_BASECASE_286_PERMX.dat,229.40,-0.15,0.99,-11.85,-13.76,6.18,7953.07,9238.96,7976.78,-4150.67
15031283.21,0.26,-19.25,-6.37,-12.75,319.79,15294042.22,data_properties/JD_BASECASE_287_PORO.dat,data_properties/JD_BASECASE_287_PERMX.dat,229.79,-0.17,0.99,-11.74,-13.88,6.35,7882.29,9319.77,8557.43,-4261.39
24156662.81,0.28,-18.37,-6.18,-13.41,319.25,17521796.72,data_properties/JD_BASECASE_288_PORO.dat,data_properties/JD_BASECASE_288_PERMX.dat,229.25,-0.15,0.99,-11.38,-13.18,6.03,7637.93,8848.77,9001.41,-4047.28
17654495.71,0.31,-19.72,-6.22,-11.54,319.11,16766621.97,data_properties/JD_BASECASE_291_PORO.dat,data_properties/JD_BASECASE_291_PERMX.dat,229.11,-0.14,0.99,-12.00,-13.93,6.68,8059.19,9354.35,7744.81,-4483.36
15550196.35,0.26,-19.31,-6.62,-12.51,311.77,16291423.85,data_properties/JD_BASECASE_292_PORO.dat,data_properties/JD_BASECASE_292_PERMX.dat,221.77,0.11,0.99,-13.68,-12.25,6.30,9181.78,8223.14,8401.60,-4231.89
17891363.39,0.34,-19.29,-6.33,-13.91,319.93,18268483.21,data_properties/JD_BASECASE_296_PORO.dat,data_properties/JD_BASECASE_296_PERMX.dat,229.93,-0.17,0.99,-11.70,-13.92,6.38,7856.24,9345.90,9335.77,-4284.73
20515539.25,0.31,-19.54,-6.02,-13.28,306.13,16600921.30,data_properties/JD_BASECASE_297_PORO.dat,data_properties/JD_BASECASE_297_PERMX.dat,216.13,0.30,0.95,-14.84,-10.72,6.44,9961.31,7195.10,8916.08,-4322.95
19770648.16,0.30,-19.04,-6.99,-13.32,319.13,17073085.93,data_properties/JD_BASECASE_298_PORO.dat,data_properties/JD_BASECASE_298_PERMX.dat,229.13,-0.14,0.99,-12.15,-13.88,5.96,8158.21,9319.86,8945.23,-4004.51
24261939.55,0.32,-19.68,-6.14,-13.65,319.61,15796305.66,data_properties/JD_BASECASE_303_PORO.dat,data_properties/JD_BASECASE_303_PERMX.dat,229.61,-0.16,0.99,-11.83,-13.99,6.68,7940.49,9394.61,9165.65,-4484.02
18599762.36,0.35,-18.91,-6.03,-12.85,319.29,17320190.30,data_properties/JD_BASECASE_306_PORO.dat,data_properties/JD_BASECASE_306_PERMX.dat,229.29,-0.15,0.99,-11.51,-13.43,6.37,7728.33,9018.34,8623.37,-4274.91
16293597.41,0.23,-18.97,-6.77,-12.90,319.63,15397743.29,data_properties/JD_BASECASE_307_PORO.dat,data_properties/JD_BASECASE_307_PERMX.dat,229.63,-0.16,0.99,-11.89,-13.85,6.02,7980.00,9296.78,8658.23,-4041.35
17338613.33,0.22,-19.24,-6.88,-13.81,319.66,16556444.31,data_properties/JD_BASECASE_308_PORO.dat,data_properties/JD_BASECASE_308_PERMX.dat,229.66,-0.16,0.99,-12.06,-14.06,6.10,8097.26,9440.20,9271.74,-4091.90
22450845.60,0.39,-19.12,-6.80,-12.66,319.07,17972393.54,data_properties/JD_BASECASE_311_PORO.dat,data_properties/JD_BASECASE_311_PERMX.dat,229.07,-0.14,0.99,-12.09,-13.83,6.10,8116.03,9287.01,8500.87,-4095.73
18979916.69,0.30,-19.36,-6.62,-11.82,319.36,17162582.41,data_properties/JD_BASECASE_316_PORO.dat,data_properties/JD_BASECASE_316_PERMX.dat,229.36,-0.15,0.99,-12.03,-13.96,6.30,8074.39,9369.57,7934.20,-4226.69
15234143.52,0.20,-19.03,-6.10,-13.16,319.33,18400717.21,data_properties/JD_BASECASE_317_PORO.dat,data_properties/JD_BASECASE_317_PERMX.dat,229.33,-0.15,0.99,-11.59,-13.54,6.39,7780.94,9089.24,8836.71,-4290.23
21567937.45,0.33,-19.48,-6.26,-13.60,319.18,18564107.86,data_properties/JD_BASECASE_318_PORO.dat,data_properties/JD_BASECASE_318_PERMX.dat,229.18,-0.15,0.99,-11.91,-13.83,6.54,7996.48,9285.35,9132.13,-4387.95
16201301.52,0.37,-19.39,-6.65,-13.48,319.01,15673932.33,data_properties/JD_BASECASE_319_PORO.dat,data_properties/JD_BASECASE_319_PERMX.dat,229.01,-0.14,0.99,-12.13,-13.91,6.30,8144.75,9336.57,9052.10,-4231.56
17107163.14,0.40,-19.65,-5.87,-12.46,319.01,16165970.44,data_properties/JD_BASECASE_321_PORO.dat,data_properties/JD_BASECASE_321_PERMX.dat,229.01,-0.14,0.99,-11.80,-13.72,6.82,7920.34,9210.77,8365.81,-4578.87
19912279.01,0.25,-19.14,-6.38,-12.17,319.60,15966432.63,data_properties/JD_BASECASE_333_PORO.dat,data_properties/JD_BASECASE_333_PERMX.dat,229.60,-0.16,0.99,-11.74,-13.78,6.30,7883.29,9252.13,8167.15,-4228.09
23976503.23,0.25,-19.05,-6.51,-12.61,319.08,16809401.33,data_properties/JD_BASECASE_335_PORO.dat,data_properties/JD_BASECASE_335_PERMX.dat,229.08,-0.14,0.99,-11.89,-13.67,6.21,7983.11,9179.64,8466.09,-4167.53
20788088.91,0.29,-19.37,-5.95,-12.28,319.32,18658639.10,data_properties/JD_BASECASE_336_PORO.dat,data_properties/JD_BASECASE_336_PERMX.dat,229.32,-0.15,0.99,-11.65,-13.67,6.64,7822.55,9175.45,8241.52,-4456.27
20894548.79,0.26,-19.12,-5.97,-12.80,319.97,15945165.55,data_properties/JD_BASECASE_337_PORO.dat,data_properties/JD_BASECASE_337_PERMX.dat,229.97,-0.17,0.98,-11.41,-13.68,6.47,7660.11,9183.12,8594.62,-4346.57
16883341.35,0.23,-19.31,-6.94,-11.47,319.87,17912511.66,data_properties/JD_BASECASE_340_PORO.dat,data_properties/JD_BASECASE_340_PERMX.dat,229.87,-0.17,0.99,-12.08,-14.17,6.09,8109.69,9515.36,7702.72,-4091.44
15376704.24,0.38,-19.00,-6.89,-11.66,319.91,17195512.79,data_properties/JD_BASECASE_341_PORO.dat,data_properties/JD_BASECASE_341_PERMX.dat,229.91,-0.17,0.99,-11.92,-13.98,5.97,7999.45,9386.96,7830.88,-4005.76
18000907.32,0.20,-19.44,-6.01,-12.82,319.17,16208538.52,data_properties/JD_BASECASE_345_PORO.dat,data_properties/JD_BASECASE_345_PERMX.dat,229.17,-0.15,0.99,-11.75,-13.70,6.64,7888.48,9196.26,8603.54,-4460.58
19986244.65,0.28,-19.65,-6.68,-12.77,319.32,16931639.40,data_properties/JD_BASECASE_346_PORO.dat,data_properties/JD_BASECASE_346_PERMX.dat,229.32,-0.15,0.99,-12.19,-14.14,6.42,8183.67,9491.52,8574.95,-4306.80
19312202.24,0.22,-19.72,-6.76,-13.22,319.24,17720429.78,data_properties/JD_BASECASE_350_PORO.dat,data_properties/JD_BASECASE_350_PERMX.dat,229.24,-0.15,0.99,-12.28,-14.19,6.41,8245.22,9529.34,8877.88,-4304.57
21903533.74,0.31,-19.76,-6.84,-11.73,319.49,17126516.56,data_properties/JD_BASECASE_353_PORO.dat,data_properties/JD_BASECASE_353_PERMX.dat,229.49,-0.16,0.99,-12.29,-14.30,6.38,8249.05,9603.13,7872.21,-4283.37
19172829.67,0.38,-19.42,-6.30,-12.95,319.54,15445992.92,data_properties/JD_BASECASE_356_PORO.dat,data_properties/JD_BASECASE_356_PERMX.dat,229.54,-0.16,0.99,-11.83,-13.90,6.48,7939.93,9331.16,8693.98,-4348.79
17000005.88,0.35,-19.36,-6.82,-12.70,319.41,16307602.86,data_properties/JD_BASECASE_359_PORO.dat,data_properties/JD_BASECASE_359_PERMX.dat,229.41,-0.15,0.99,-12.13,-14.05,6.20,8142.21,9432.51,8525.39,-4162.14
24772538.94,0.34,-19.60,-6.19,-13.12,319.74,17261743.17,data_properties/JD_BASECASE_360_PORO.dat,data_properties/JD_BASECASE_360_PERMX.dat,229.74,-0.16,0.99,-11.79,-14.00,6.61,7913.88,9397.55,8805.91,-4440.25
16747398.21,0.36,-19.50,-7.10,-13.85,319.64,15847047.44,data_properties/JD_BASECASE_361_PORO.dat,data_properties/JD_BASECASE_361_PERMX.dat,229.64,-0.16,0.99,-12.30,-14.30,6.12,8257.72,9601.92,9297.95,-4109.92
15676205.85,0.31,-19.05,-7.10,-13.53,319.66,18069549.58,data_properties/JD_BASECASE_363_PORO.dat,data_properties/JD_BASECASE_363_PERMX.dat,229.66,-0.16,0.99,-12.11,-14.04,5.89,8129.04,9427.35,9080.36,-3956.10
15966775.73,0.21,-19.28,-6.11,-12.93,319.15,16438550.00,data_properties/JD_BASECASE_369_PORO.dat,data_properties/JD_BASECASE_369_PERMX.dat,229.15,-0.14,0.99,-11.75,-13.65,6.52,7886.93,9163.23,8680.41,-4375.20
23288394.09,0.32,-19.04,-6.24,-12.41,319.75,17642983.34,data_properties/JD_BASECASE_375_PORO.dat,data_properties/JD_BASECASE_375_PERMX.dat,229.75,-0.16,0.99,-11.58,-13.69,6.31,7776.20,9193.51,8331.35,-4237.86
22168382.00,0.39,-19.41,-7.05,-13.44,319.64,16237573.59,data_properties/JD_BASECASE_379_PORO.dat,data_properties/JD_BASECASE_379_PERMX.dat,229.64,-0.16,0.99,-12.24,-14.23,6.10,8214.01,9552.08,9024.08,-4093.26
21744717.53,0.27,-19.36,-5.91,-13.68,319.30,15741792.16,data_properties/JD_BASECASE_380_PORO.dat,data_properties/JD_BASECASE_380_PERMX.dat,229.30,-0.15,0.99,-11.63,-13.64,6.65,7805.66,9155.48,9181.88,-4464.55
16359858.44,0.29,-19.31,-6.72,-13.13,319.38,15565626.72,data_properties/JD_BASECASE_381_PORO.dat,data_properties/JD_BASECASE_381_PERMX.dat,229.38,-0.15,0.99,-12.05,-13.97,6.22,8092.07,9378.41,8813.31,-4177.96
23754507.05,0.34,-19.79,-6.29,-11.62,306.07,18308802.05,data_properties/JD_BASECASE_383_PORO.dat,data_properties/JD_BASECASE_383_PERMX.dat,216.07,0.31,0.95,-15.11,-10.97,6.42,10145.19,7365.57,7800.65,-4313.24
21112964.74,0.23,-19.71,-6.41,-11.69,319.99,17046673.91,data_properties/JD_BASECASE_386_PORO.dat,data_properties/JD_BASECASE_386_PERMX.dat,229.99,-0.17,0.98,-11.91,-14.21,6.55,7993.06,9540.37,7849.05,-4397.84
18541060.57,0.22,-19.04,-6.08,-11.84,319.34,18122706.79,data_properties/JD_BASECASE_387_PORO.dat,data_properties/JD_BASECASE_387_PERMX.dat,229.34,-0.15,0.99,-11.58,-13.54,6.41,7772.25,9086.68,7948.88,-4300.35
15754579.43,0.22,-19.45,-6.93,-13.28,319.34,17762357.12,data_properties/JD_BASECASE_392_PORO.dat,data_properties/JD_BASECASE_392_PERMX.dat,229.34,-0.15,0.99,-12.24,-14.13,6.19,8218.96,9488.19,8912.23,-4153.62
23828217.99,0.24,-19.33,-6.28,-12.39,319.61,18546413.26,data_properties/JD_BASECASE_394_PORO.dat,data_properties/JD_BASECASE_394_PERMX.dat,229.61,-0.16,0.99,-11.76,-13.85,6.44,7893.02,9298.22,8320.56,-4324.87
20183107.32,0.38,-19.65,-6.44,-13.91,319.62,17961463.79,data_properties/JD_BASECASE_397_PORO.dat,data_properties/JD_BASECASE_397_PERMX.dat,229.62,-0.16,0.99,-11.98,-14.10,6.52,8043.23,9466.67,9340.22,-4376.48
