E_GPa,PR,SH_MPa/km,Sh_MPa/km,Sv_MPa/km,SH_azi_deg,PORO_file,PERMX_file,beta,cos_2beta,sin_2beta,sigma_x_grad,sigma_y_grad,tau_xy_grad,sigma_x_ref,sigma_y_ref,sigma_z_ref,tau_xy_ref
22309198.74,0.39,-18.98,-7.12,-13.52,319.97,data_properties/JD_BASECASE_26_PORO.dat,data_properties/JD_BASECASE_26_PERMX.dat,229.97,-0.17,0.98,-12.03,-14.08,5.84,8073.70,9449.16,9074.29,-3921.13
19062666.50,0.23,-19.49,-6.93,-11.54,319.63,data_properties/JD_BASECASE_27_PORO.dat,data_properties/JD_BASECASE_27_PERMX.dat,229.63,-0.16,0.99,-12.20,-14.22,6.20,8191.53,9546.30,7750.43,-4159.13
15861656.22,0.23,-19.50,-7.01,-11.93,319.27,data_properties/JD_BASECASE_28_PORO.dat,data_properties/JD_BASECASE_28_PERMX.dat,229.27,-0.15,0.99,-12.33,-14.19,6.18,8278.59,9523.64,8007.99,-4146.27
23135438.35,0.37,-19.01,-7.10,-11.60,319.66,data_properties/JD_BASECASE_29_PORO.dat,data_properties/JD_BASECASE_29_PERMX.dat,229.66,-0.16,0.99,-12.09,-14.02,5.88,8118.27,9412.29,7789.76,-3945.25
24690412.80,0.29,-18.99,-5.89,-13.92,319.63,data_properties/JD_BASECASE_30_PORO.dat,data_properties/JD_BASECASE_30_PERMX.dat,229.63,-0.16,0.99,-11.39,-13.49,6.46,7644.85,9058.34,9347.47,-4337.65
15333466.39,0.34,-18.93,-6.69,-12.17,319.83,data_properties/JD_BASECASE_34_PORO.dat,data_properties/JD_BASECASE_34_PERMX.dat,229.83,-0.17,0.99,-11.78,-13.83,6.03,7910.80,9287.56,8167.13,-4047.86
18262626.51,0.23,-19.48,-6.86,-12.60,319.53,data_properties/JD_BASECASE_37_PORO.dat,data_properties/JD_BASECASE_37_PERMX.dat,229.53,-0.16,0.99,-12.18,-14.17,6.23,8175.87,9511.24,8461.75,-4183.74
23662373.45,0.28,-19.15,-7.00,-11.47,319.91,data_properties/JD_BASECASE_41_PORO.dat,data_properties/JD_BASECASE_41_PERMX.dat,229.91,-0.17,0.99,-12.04,-14.11,5.99,8082.63,9474.28,7698.46,-4019.11
21738659.32,0.33,-19.12,-6.95,-13.26,319.42,data_properties/JD_BASECASE_42_PORO.dat,data_properties/JD_BASECASE_42_PERMX.dat,229.42,-0.15,0.99,-12.10,-13.97,6.01,8124.18,9377.79,8903.24,-4034.46
20434870.68,0.32,-19.50,-6.77,-12.01,319.29,data_properties/JD_BASECASE_43_PORO.dat,data_properties/JD_BASECASE_43_PERMX.dat,229.29,-0.15,0.99,-12.19,-14.08,6.29,8181.74,9455.05,8065.56,-4223.66
20132622.06,0.28,-19.01,-5.96,-13.69,319.52,data_properties/JD_BASECASE_44_PORO.dat,data_properties/JD_BASECASE_44_PERMX.dat,229.52,-0.16,0.99,-11.46,-13.51,6.44,7692.34,9068.71,9190.02,-4326.43
20031262.86,0.37,-19.38,-7.12,-13.43,319.92,data_properties/JD_BASECASE_45_PORO.dat,data_properties/JD_BASECASE_45_PERMX.dat,229.92,-0.17,0.99,-12.21,-14.30,6.04,8194.28,9601.32,9014.59,-4053.97
19651344.95,0.36,-18.98,-6.09,-13.87,319.72,data_properties/JD_BASECASE_46_PORO.dat,data_properties/JD_BASECASE_46_PERMX.dat,229.72,-0.16,0.99,-11.48,-13.59,6.36,7703.60,9124.79,9314.25,-4270.24
19973353.59,0.35,-17.23,-7.06,-13.89,319.49,data_properties/JD_BASECASE_47_PORO.dat,data_properties/JD_BASECASE_47_PERMX.dat,229.49,-0.16,0.99,-11.35,-12.94,5.02,7619.41,8685.92,9327.22,-3371.46
19731654.39,0.39,-18.96,-6.23,-12.96,319.50,data_properties/JD_BASECASE_50_PORO.dat,data_properties/JD_BASECASE_50_PERMX.dat,229.50,-0.16,0.99,-11.60,-13.59,6.28,7788.34,9124.11,8701.36,-4219.23
22211549.40,0.28,-19.50,-6.01,-11.66,319.65,data_properties/JD_BASECASE_52_PORO.dat,data_properties/JD_BASECASE_52_PERMX.dat,229.65,-0.16,0.99,-11.67,-13.85,6.66,7831.53,9294.92,7827.87,-4469.47
21024020.62,0.24,-19.61,-6.63,-13.56,319.45,data_properties/JD_BASECASE_56_PORO.dat,data_properties/JD_BASECASE_56_PERMX.dat,229.45,-0.15,0.99,-12.12,-14.12,6.41,8133.52,9481.63,9100.02,-4306.56
21517768.63,0.36,-19.32,-6.16,-11.74,319.55,data_properties/JD_BASECASE_59_PORO.dat,data_properties/JD_BASECASE_59_PERMX.dat,229.55,-0.16,0.99,-11.70,-13.78,6.50,7851.27,9248.81,7879.44,-4361.99
18917257.92,0.25,-19.26,-6.36,-13.37,319.97,data_properties/JD_BASECASE_62_PORO.dat,data_properties/JD_BASECASE_62_PERMX.dat,229.97,-0.17,0.98,-11.70,-13.93,6.35,7853.50,9348.75,8972.45,-4265.04
22604992.37,0.26,-19.53,-6.79,-13.05,319.93,data_properties/JD_BASECASE_63_PORO.dat,data_properties/JD_BASECASE_63_PERMX.dat,229.93,-0.17,0.99,-12.07,-14.25,6.28,8100.96,9566.88,8762.72,-4214.95
21321299.74,0.33,-18.97,-6.40,-13.96,319.84,data_properties/JD_BASECASE_67_PORO.dat,data_properties/JD_BASECASE_67_PERMX.dat,229.84,-0.17,0.99,-11.63,-13.74,6.19,7805.96,9224.88,9371.34,-4158.66
20730180.82,0.35,-19.15,-6.81,-12.57,319.13,data_properties/JD_BASECASE_70_PORO.dat,data_properties/JD_BASECASE_70_PERMX.dat,229.13,-0.14,0.99,-12.10,-13.87,6.11,8120.29,9309.42,8439.07,-4098.65
18166732.29,0.27,-17.05,-6.53,-11.75,303.67,data_properties/JD_BASECASE_72_PORO.dat,data_properties/JD_BASECASE_72_PERMX.dat,213.67,0.39,0.92,-13.82,-9.76,4.85,9274.93,6552.75,7885.02,-3259.32
22770270.52,0.38,-19.71,-6.82,-12.33,314.58,data_properties/JD_BASECASE_73_PORO.dat,data_properties/JD_BASECASE_73_PERMX.dat,224.58,0.01,1.00,-13.36,-13.17,6.45,8969.02,8843.60,8279.48,-4328.41
24542206.64,0.27,-19.75,-6.45,-12.66,319.56,data_properties/JD_BASECASE_76_PORO.dat,data_properties/JD_BASECASE_76_PERMX.dat,229.56,-0.16,0.99,-12.05,-14.16,6.57,8089.56,9503.88,8498.33,-4408.55
17860508.60,0.21,-18.93,-6.20,-13.19,319.37,data_properties/JD_BASECASE_77_PORO.dat,data_properties/JD_BASECASE_77_PERMX.dat,229.37,-0.15,0.99,-11.60,-13.54,6.29,7789.02,9086.72,8855.74,-4224.05
17558807.26,0.24,-18.90,-5.97,-13.67,319.91,data_properties/JD_BASECASE_78_PORO.dat,data_properties/JD_BASECASE_78_PERMX.dat,229.91,-0.17,0.99,-11.33,-13.54,6.37,7608.64,9089.88,9179.76,-4277.21
24327390.04,0.40,-18.60,-6.31,-12.15,319.31,data_properties/JD_BASECASE_79_PORO.dat,data_properties/JD_BASECASE_79_PERMX.dat,229.31,-0.15,0.99,-11.53,-13.38,6.08,7743.31,8981.58,8158.58,-4080.65
18661665.24,0.22,-19.59,-7.09,-13.22,319.93,data_properties/JD_BASECASE_82_PORO.dat,data_properties/JD_BASECASE_82_PERMX.dat,229.93,-0.17,0.99,-12.27,-14.41,6.16,8237.69,9674.94,8873.92,-4133.89
24118986.19,0.38,-19.31,-6.91,-13.38,319.24,data_properties/JD_BASECASE_87_PORO.dat,data_properties/JD_BASECASE_87_PERMX.dat,229.24,-0.15,0.99,-12.19,-14.02,6.13,8186.61,9413.40,8983.59,-4115.81
15768175.30,0.39,-19.59,-6.57,-12.85,319.42,data_properties/JD_BASECASE_88_PORO.dat,data_properties/JD_BASECASE_88_PERMX.dat,229.42,-0.15,0.99,-12.08,-14.08,6.43,8108.69,9451.56,8629.18,-4316.88
21566389.83,0.20,-19.48,-6.93,-13.31,319.96,data_properties/JD_BASECASE_90_PORO.dat,data_properties/JD_BASECASE_90_PERMX.dat,229.96,-0.17,0.99,-12.12,-14.28,6.18,8137.91,9589.49,8936.60,-4150.06
20312984.89,0.35,-19.30,-5.93,-13.79,319.60,data_properties/JD_BASECASE_96_PORO.dat,data_properties/JD_BASECASE_96_PERMX.dat,229.60,-0.16,0.99,-11.55,-13.68,6.60,7751.77,9186.10,9259.03,-4432.34
23727889.32,0.33,-19.54,-6.90,-12.82,319.93,data_properties/JD_BASECASE_97_PORO.dat,data_properties/JD_BASECASE_97_PERMX.dat,229.93,-0.17,0.99,-12.14,-14.30,6.23,8146.76,9600.69,8604.77,-4180.77
16945708.95,0.27,-19.44,-6.71,-13.33,306.35,data_properties/JD_BASECASE_98_PORO.dat,data_properties/JD_BASECASE_98_PERMX.dat,216.35,0.30,0.95,-14.97,-11.18,6.08,10050.73,7507.99,8950.34,-4080.69
24107514.03,0.31,-18.91,-6.59,-13.66,319.54,data_properties/JD_BASECASE_100_PORO.dat,data_properties/JD_BASECASE_100_PERMX.dat,229.54,-0.16,0.99,-11.78,-13.73,6.08,7909.83,9214.77,9168.25,-4083.61
21340411.40,0.35,-19.32,-6.32,-11.58,319.23,data_properties/JD_BASECASE_105_PORO.dat,data_properties/JD_BASECASE_105_PERMX.dat,229.23,-0.15,0.99,-11.86,-13.78,6.43,7964.62,9247.95,7775.62,-4316.15
22884268.93,0.29,-19.69,-7.02,-13.00,319.71,data_properties/JD_BASECASE_109_PORO.dat,data_properties/JD_BASECASE_109_PERMX.dat,229.71,-0.16,0.99,-12.32,-14.39,6.25,8270.40,9663.80,8724.26,-4196.61
16507107.58,0.25,-19.60,-6.00,-12.39,319.52,data_properties/JD_BASECASE_115_PORO.dat,data_properties/JD_BASECASE_115_PERMX.dat,229.52,-0.16,0.99,-11.73,-13.87,6.72,7874.96,9310.62,8317.76,-4510.16
24829949.94,0.32,-19.49,-6.29,-11.63,319.51,data_properties/JD_BASECASE_123_PORO.dat,data_properties/JD_BASECASE_123_PERMX.dat,229.51,-0.16,0.99,-11.86,-13.93,6.52,7961.19,9348.58,7806.33,-4374.38
22489048.28,0.23,-19.46,-5.85,-13.13,319.14,data_properties/JD_BASECASE_125_PORO.dat,data_properties/JD_BASECASE_125_PERMX.dat,229.14,-0.14,0.99,-11.68,-13.63,6.73,7838.93,9153.40,8817.26,-4520.08
17270689.72,0.34,-19.64,-6.04,-11.81,319.14,data_properties/JD_BASECASE_126_PORO.dat,data_properties/JD_BASECASE_126_PERMX.dat,229.14,-0.14,0.99,-11.86,-13.82,6.73,7960.49,9276.35,7930.62,-4515.58
22068353.51,0.24,-18.88,-6.65,-12.55,319.93,data_properties/JD_BASECASE_129_PORO.dat,data_properties/JD_BASECASE_129_PERMX.dat,229.93,-0.17,0.99,-11.72,-13.81,6.03,7865.67,9272.44,8422.78,-4047.24
17027837.17,0.31,-19.16,-6.99,-13.11,319.96,data_properties/JD_BASECASE_130_PORO.dat,data_properties/JD_BASECASE_130_PERMX.dat,229.96,-0.17,0.99,-12.03,-14.12,6.00,8073.61,9480.71,8799.59,-4026.10
17123411.64,0.21,-16.67,-6.84,-12.50,319.97,data_properties/JD_BASECASE_131_PORO.dat,data_properties/JD_BASECASE_131_PERMX.dat,229.97,-0.17,0.99,-10.91,-12.61,4.84,7324.91,8463.01,8391.77,-3249.84
16220476.16,0.22,-19.25,-6.44,-13.84,319.36,data_properties/JD_BASECASE_134_PORO.dat,data_properties/JD_BASECASE_134_PERMX.dat,229.36,-0.15,0.99,-11.88,-13.82,6.33,7972.19,9276.03,9292.13,-4252.57
18026556.43,0.20,-19.47,-6.96,-13.47,319.05,data_properties/JD_BASECASE_135_PORO.dat,data_properties/JD_BASECASE_135_PERMX.dat,229.05,-0.14,0.99,-12.34,-14.10,6.19,8281.05,9462.70,9042.23,-4155.63
17479659.08,0.29,-16.77,-6.73,-12.62,319.55,data_properties/JD_BASECASE_140_PORO.dat,data_properties/JD_BASECASE_140_PERMX.dat,229.55,-0.16,0.99,-10.96,-12.54,4.96,7354.51,8421.69,8474.33,-3328.43
16083636.97,0.40,-19.64,-6.03,-13.63,308.32,data_properties/JD_BASECASE_141_PORO.dat,data_properties/JD_BASECASE_141_PERMX.dat,218.32,0.23,0.97,-14.40,-11.26,6.62,9670.31,7558.84,9150.70,-4446.09
19854880.95,0.36,-19.19,-6.33,-13.15,319.74,data_properties/JD_BASECASE_144_PORO.dat,data_properties/JD_BASECASE_144_PERMX.dat,229.74,-0.16,0.99,-11.70,-13.82,6.34,7856.43,9276.95,8831.08,-4256.85
16774974.12,0.21,-19.05,-5.88,-12.34,319.65,data_properties/JD_BASECASE_146_PORO.dat,data_properties/JD_BASECASE_146_PERMX.dat,229.65,-0.16,0.99,-11.40,-13.53,6.50,7655.69,9083.75,8284.79,-4362.24
19124121.86,0.21,-19.14,-6.15,-12.05,319.05,data_properties/JD_BASECASE_147_PORO.dat,data_properties/JD_BASECASE_147_PERMX.dat,229.05,-0.14,0.99,-11.73,-13.56,6.43,7875.36,9105.54,8086.25,-4318.68
21980111.40,0.26,-19.30,-6.58,-12.30,319.23,data_properties/JD_BASECASE_150_PORO.dat,data_properties/JD_BASECASE_150_PERMX.dat,229.23,-0.15,0.99,-12.00,-13.87,6.29,8058.03,9314.47,8258.74,-4220.74
20619864.82,0.32,-18.99,-7.07,-12.12,319.71,data_properties/JD_BASECASE_152_PORO.dat,data_properties/JD_BASECASE_152_PERMX.dat,229.71,-0.16,0.99,-12.06,-14.01,5.88,8094.12,9402.21,8139.00,-3945.71
23290539.45,0.29,-19.47,-6.68,-12.72,319.06,data_properties/JD_BASECASE_153_PORO.dat,data_properties/JD_BASECASE_153_PERMX.dat,229.06,-0.14,0.99,-12.17,-13.97,6.33,8170.86,9381.75,8539.39,-4248.65
23016967.24,0.38,-19.71,-5.95,-13.08,319.85,data_properties/JD_BASECASE_156_PORO.dat,data_properties/JD_BASECASE_156_PERMX.dat,229.85,-0.17,0.99,-11.67,-13.99,6.78,7834.70,9389.65,8779.74,-4551.77
19545250.90,0.22,-19.21,-6.56,-13.46,306.06,data_properties/JD_BASECASE_158_PORO.dat,data_properties/JD_BASECASE_158_PERMX.dat,216.06,0.31,0.95,-14.82,-10.94,6.02,9952.02,7343.61,9035.20,-4042.00
23486982.69,0.36,-19.76,-6.89,-11.84,319.99,data_properties/JD_BASECASE_159_PORO.dat,data_properties/JD_BASECASE_159_PERMX.dat,229.99,-0.17,0.98,-12.21,-14.44,6.34,8196.24,9693.70,7949.10,-4255.72
16645965.41,0.25,-19.28,-6.06,-12.43,319.25,data_properties/JD_BASECASE_160_PORO.dat,data_properties/JD_BASECASE_160_PERMX.dat,229.25,-0.15,0.99,-11.69,-13.65,6.54,7850.17,9160.94,8348.02,-4387.57
15186127.08,0.38,-19.38,-6.47,-11.70,310.80,data_properties/JD_BASECASE_162_PORO.dat,data_properties/JD_BASECASE_162_PERMX.dat,220.80,0.15,0.99,-13.87,-11.98,6.39,9311.14,8044.04,7852.63,-4287.81
18415715.67,0.29,-19.78,-6.61,-12.27,319.05,data_properties/JD_BASECASE_163_PORO.dat,data_properties/JD_BASECASE_163_PERMX.dat,229.05,-0.14,0.99,-12.26,-14.12,6.52,8232.83,9480.19,8239.27,-4377.70
24891053.37,0.33,-19.54,-6.42,-12.24,319.98,data_properties/JD_BASECASE_164_PORO.dat,data_properties/JD_BASECASE_164_PERMX.dat,229.98,-0.17,0.98,-11.85,-14.12,6.46,7953.76,9476.45,8214.63,-4335.78
19364173.76,0.34,-19.36,-6.39,-12.05,319.77,data_properties/JD_BASECASE_166_PORO.dat,data_properties/JD_BASECASE_166_PERMX.dat,229.77,-0.17,0.99,-11.80,-13.95,6.39,7920.03,9361.99,8090.59,-4292.56
16836171.44,0.28,-19.58,-6.80,-13.83,319.45,data_properties/JD_BASECASE_169_PORO.dat,data_properties/JD_BASECASE_169_PERMX.dat,229.45,-0.15,0.99,-12.20,-14.18,6.31,8190.63,9519.07,9283.56,-4237.55
22892843.83,0.26,-19.33,-6.50,-11.95,319.48,data_properties/JD_BASECASE_171_PORO.dat,data_properties/JD_BASECASE_171_PERMX.dat,229.48,-0.16,0.99,-11.92,-13.91,6.33,7999.96,9340.16,8021.25,-4251.68
24427701.01,0.34,-19.55,-6.74,-11.53,319.92,data_properties/JD_BASECASE_176_PORO.dat,data_properties/JD_BASECASE_176_PERMX.dat,229.92,-0.17,0.99,-12.05,-14.24,6.31,8088.92,9557.62,7742.07,-4237.78
22361883.20,0.30,-19.10,-6.25,-11.86,319.36,data_properties/JD_BASECASE_181_PORO.dat,data_properties/JD_BASECASE_181_PERMX.dat,229.36,-0.15,0.99,-11.70,-13.65,6.35,7855.03,9161.87,7959.41,-4264.35
15975249.00,0.20,-18.97,-7.04,-11.50,319.05,data_properties/JD_BASECASE_185_PORO.dat,data_properties/JD_BASECASE_185_PERMX.dat,229.05,-0.14,0.99,-12.17,-13.85,5.90,8166.86,9295.89,7717.56,-3963.32
17907635.08,0.34,-19.44,-6.63,-11.45,319.61,data_properties/JD_BASECASE_187_PORO.dat,data_properties/JD_BASECASE_187_PERMX.dat,229.61,-0.16,0.99,-12.01,-14.06,6.32,8061.41,9440.33,7689.76,-4243.72
16363559.64,0.40,-19.37,-6.76,-12.88,319.31,data_properties/JD_BASECASE_189_PORO.dat,data_properties/JD_BASECASE_189_PERMX.dat,229.31,-0.15,0.99,-12.12,-14.01,6.23,8136.15,9405.94,8644.24,-4185.72
20924325.53,0.31,-19.31,-6.10,-13.01,319.68,data_properties/JD_BASECASE_190_PORO.dat,data_properties/JD_BASECASE_190_PERMX.dat,229.68,-0.16,0.99,-11.63,-13.78,6.52,7810.16,9253.20,8735.24,-4375.81
17668781.37,0.27,-19.01,-6.50,-12.47,319.95,data_properties/JD_BASECASE_193_PORO.dat,data_properties/JD_BASECASE_193_PERMX.dat,229.95,-0.17,0.99,-11.68,-13.83,6.16,7838.80,9282.01,8372.53,-4136.32
23335499.95,0.31,-19.74,-6.26,-12.77,319.36,data_properties/JD_BASECASE_194_PORO.dat,data_properties/JD_BASECASE_194_PERMX.dat,229.36,-0.15,0.99,-11.98,-14.02,6.66,8042.41,9414.46,8575.10,-4472.15
24592116.34,0.30,-19.00,-5.92,-12.21,319.25,data_properties/JD_BASECASE_197_PORO.dat,data_properties/JD_BASECASE_197_PERMX.dat,229.25,-0.15,0.99,-11.49,-13.43,6.47,7716.92,9013.89,8197.62,-4342.21
16276499.15,0.30,-19.77,-5.99,-13.53,319.05,data_properties/JD_BASECASE_198_PORO.dat,data_properties/JD_BASECASE_198_PERMX.dat,229.05,-0.14,0.99,-11.91,-13.85,6.82,7995.91,9300.13,9083.68,-4578.54
20519907.95,0.39,-19.19,-6.28,-12.94,319.83,data_properties/JD_BASECASE_199_PORO.dat,data_properties/JD_BASECASE_199_PERMX.dat,229.83,-0.17,0.99,-11.65,-13.82,6.36,7820.68,9275.19,8689.28,-4271.03
19323555.92,0.25,-19.15,-6.86,-12.75,312.52,data_properties/JD_BASECASE_200_PORO.dat,data_properties/JD_BASECASE_200_PERMX.dat,222.52,0.09,1.00,-13.54,-12.47,6.12,9089.54,8374.62,8557.91,-4110.90
