E_GPa,PR,SH_MPa/km,Sh_MPa/km,Sv_MPa/km,SH_azi_deg,PORO_file,PERMX_file,beta,cos_2beta,sin_2beta,sigma_x_grad,sigma_y_grad,tau_xy_grad,sigma_x_ref,sigma_y_ref,sigma_z_ref,tau_xy_ref,A_m2
15552823.77,0.37,-18.17,-7.14,-12.52,319.07,data_properties/JD_BASECASE_21_PORO.dat,data_properties/JD_BASECASE_21_PERMX.dat,229.07,-0.14,0.99,-11.87,-13.44,5.46,7971.86,9020.24,8407.34,-3667.19,17797123.99
21882008.86,0.24,-18.05,-6.18,-11.79,319.82,data_properties/JD_BASECASE_22_PORO.dat,data_properties/JD_BASECASE_22_PERMX.dat,229.82,-0.17,0.99,-11.12,-13.11,5.85,7466.85,8801.63,7915.98,-3927.33,16519542.72
18878566.51,0.22,-19.17,-6.18,-13.73,303.47,data_properties/JD_BASECASE_25_PORO.dat,data_properties/JD_BASECASE_25_PERMX.dat,213.47,0.39,0.92,-15.22,-10.13,5.98,10215.07,6800.59,9217.38,-4011.99,15504030.19
22309198.74,0.39,-18.5,-7.12,-13.52,313.82,data_properties/JD_BASECASE_26_PORO.dat,data_properties/JD_BASECASE_26_PERMX.dat,223.82,0.04,1,-13.05,-12.58,5.69,8759,8443.63,9074.29,-3817.62,17818475.56
19062666.5,0.23,-18.43,-6.93,-11.54,318.83,data_properties/JD_BASECASE_27_PORO.dat,data_properties/JD_BASECASE_27_PERMX.dat,228.83,-0.13,0.99,-11.92,-13.45,5.7,8000.45,9029.79,7750.43,-3825.68,15786585.77
15861656.22,0.23,-17.8,-7.01,-11.93,318.57,data_properties/JD_BASECASE_28_PORO.dat,data_properties/JD_BASECASE_28_PERMX.dat,228.57,-0.12,0.99,-11.74,-13.08,5.35,7879.63,8780.46,8007.99,-3593.56,16707644.71
23135438.35,0.37,-19.2,-7.1,-11.6,319.04,data_properties/JD_BASECASE_29_PORO.dat,data_properties/JD_BASECASE_29_PERMX.dat,229.04,-0.14,0.99,-12.3,-14,5.99,8256.85,9397.57,7789.76,-4019.62,15339238.92
24690412.8,0.29,-18.22,-5.89,-13.92,319.84,data_properties/JD_BASECASE_30_PORO.dat,data_properties/JD_BASECASE_30_PERMX.dat,229.84,-0.17,0.99,-11.02,-13.09,6.07,7397.23,8789.77,9347.47,-4077.74,17187528.52
15333466.39,0.34,-18.97,-6.69,-12.17,319.45,data_properties/JD_BASECASE_34_PORO.dat,data_properties/JD_BASECASE_34_PERMX.dat,229.45,-0.15,0.99,-11.88,-13.78,6.06,7975.69,9249.73,8167.13,-4069.95,18491900.64
18262626.51,0.23,-18.16,-6.86,-12.6,318.99,data_properties/JD_BASECASE_37_PORO.dat,data_properties/JD_BASECASE_37_PERMX.dat,228.99,-0.14,0.99,-11.73,-13.3,5.6,7874.04,8926.76,8461.75,-3756.84,17676709.38
23662373.45,0.28,-18.12,-7,-11.47,319,data_properties/JD_BASECASE_41_PORO.dat,data_properties/JD_BASECASE_41_PERMX.dat,229,-0.14,0.99,-11.79,-13.33,5.51,7912.77,8950.25,7698.46,-3695.72,17220858.93
21738659.32,0.33,-19.2,-6.95,-13.26,306.01,data_properties/JD_BASECASE_42_PORO.dat,data_properties/JD_BASECASE_42_PERMX.dat,216.01,0.31,0.95,-14.97,-11.19,5.83,10048.83,7511.22,8903.24,-3911.25,16597103.99
20434870.68,0.32,-19.42,-6.77,-12.01,319.3,data_properties/JD_BASECASE_43_PORO.dat,data_properties/JD_BASECASE_43_PERMX.dat,229.3,-0.15,0.99,-12.15,-14.04,6.25,8159.16,9428.49,8065.56,-4199.11,17729286.82
20132622.06,0.28,-18.83,-5.96,-13.69,318.9,data_properties/JD_BASECASE_44_PORO.dat,data_properties/JD_BASECASE_44_PERMX.dat,228.9,-0.14,0.99,-11.52,-13.27,6.38,7735.45,8907.11,9190.02,-4281.69,16004747.3
20031262.86,0.37,-18.72,-7.12,-13.43,319.1,data_properties/JD_BASECASE_45_PORO.dat,data_properties/JD_BASECASE_45_PERMX.dat,229.1,-0.14,0.99,-12.1,-13.75,5.74,8121.15,9232.12,9014.59,-3853.56,15936638.6
19651344.95,0.36,-19.26,-6.09,-13.87,319.94,data_properties/JD_BASECASE_46_PORO.dat,data_properties/JD_BASECASE_46_PERMX.dat,229.94,-0.17,0.99,-11.54,-13.81,6.49,7749.18,9267.85,9314.25,-4357.62,16239882.48
19973353.59,0.35,-17.99,-7.06,-13.89,319.86,data_properties/JD_BASECASE_47_PORO.dat,data_properties/JD_BASECASE_47_PERMX.dat,229.86,-0.17,0.99,-11.6,-13.45,5.39,7787.92,9027.9,9327.22,-3615.84,15370493.39
19731654.39,0.39,-18.14,-6.23,-12.96,319.68,data_properties/JD_BASECASE_50_PORO.dat,data_properties/JD_BASECASE_50_PERMX.dat,229.68,-0.16,0.99,-11.22,-13.15,5.87,7530.15,8830.25,8701.36,-3942.51,16766303.31
22211549.4,0.28,-16.52,-6.01,-11.66,318.25,data_properties/JD_BASECASE_52_PORO.dat,data_properties/JD_BASECASE_52_PERMX.dat,228.25,-0.11,0.99,-10.67,-11.86,5.22,7161.1,7960.54,7827.87,-3503.83,16999712.87
21024020.62,0.24,-18.5,-6.63,-13.56,319.11,data_properties/JD_BASECASE_56_PORO.dat,data_properties/JD_BASECASE_56_PERMX.dat,229.11,-0.14,0.99,-11.71,-13.41,5.88,7864.16,9004.74,9100.02,-3944.85,16285991.49
21517768.63,0.36,-19.63,-6.16,-11.74,318.73,data_properties/JD_BASECASE_59_PORO.dat,data_properties/JD_BASECASE_59_PERMX.dat,228.73,-0.13,0.99,-12.02,-13.77,6.68,8067.54,9242.87,7879.44,-4484.43,16190144.83
18917257.92,0.25,-19.71,-6.36,-13.37,307.88,data_properties/JD_BASECASE_62_PORO.dat,data_properties/JD_BASECASE_62_PERMX.dat,217.88,0.25,0.97,-14.68,-11.39,6.47,9852.37,7649.43,8972.45,-4342.33,18630335.89
22604992.37,0.26,-16.58,-6.79,-13.05,319.82,data_properties/JD_BASECASE_63_PORO.dat,data_properties/JD_BASECASE_63_PERMX.dat,229.82,-0.17,0.99,-10.86,-12.5,4.83,7292.5,8394.43,8762.72,-3241.26,18051033.63
21321299.74,0.33,-18.07,-6.4,-13.96,318.63,data_properties/JD_BASECASE_67_PORO.dat,data_properties/JD_BASECASE_67_PERMX.dat,228.63,-0.13,0.99,-11.5,-12.97,5.79,7718.92,8708.19,9371.34,-3885.52,18179515.13
20730180.82,0.35,-18.01,-6.81,-12.57,319.86,data_properties/JD_BASECASE_70_PORO.dat,data_properties/JD_BASECASE_70_PERMX.dat,229.86,-0.17,0.99,-11.46,-13.35,5.52,7695.98,8965.05,8439.07,-3703.25,15528005.19
18166732.29,0.27,-17.4,-6.53,-11.75,305.74,data_properties/JD_BASECASE_72_PORO.dat,data_properties/JD_BASECASE_72_PERMX.dat,215.74,0.32,0.95,-13.69,-10.24,5.16,9191.12,6872.32,7885.02,-3460.95,16121455.82
22770270.52,0.38,-19.38,-6.82,-12.33,310.23,data_properties/JD_BASECASE_73_PORO.dat,data_properties/JD_BASECASE_73_PERMX.dat,220.23,0.17,0.99,-14.14,-12.06,6.19,9493.77,8095.63,8279.48,-4158.91,18303164.83
24542206.64,0.27,-18.81,-6.45,-12.66,318.48,data_properties/JD_BASECASE_76_PORO.dat,data_properties/JD_BASECASE_76_PERMX.dat,228.48,-0.12,0.99,-11.88,-13.38,6.13,7978.66,8983.26,8498.33,-4118.63,16952492.21
17860508.6,0.21,-19.37,-6.2,-13.19,318.84,data_properties/JD_BASECASE_77_PORO.dat,data_properties/JD_BASECASE_77_PERMX.dat,228.84,-0.13,0.99,-11.91,-13.67,6.53,7993.94,9175.71,8855.74,-4380.88,15561570.41
17558807.26,0.24,-19.16,-5.97,-13.67,311.86,data_properties/JD_BASECASE_78_PORO.dat,data_properties/JD_BASECASE_78_PERMX.dat,221.86,0.11,0.99,-13.29,-11.84,6.55,8919.44,7950,9179.76,-4399.7,16212052.32
24327390.04,0.4,-17.58,-6.31,-12.15,319.92,data_properties/JD_BASECASE_79_PORO.dat,data_properties/JD_BASECASE_79_PERMX.dat,229.92,-0.17,0.99,-10.98,-12.91,5.55,7370.95,8663.67,8158.58,-3726.58,17611954.29
18661665.24,0.22,-18.81,-7.09,-13.22,319.19,data_properties/JD_BASECASE_82_PORO.dat,data_properties/JD_BASECASE_82_PERMX.dat,229.19,-0.15,0.99,-12.09,-13.8,5.8,8119.64,9266.13,8873.92,-3890.44,17554858.64
24118986.19,0.38,-19.28,-6.91,-13.38,319.86,data_properties/JD_BASECASE_87_PORO.dat,data_properties/JD_BASECASE_87_PERMX.dat,229.86,-0.17,0.99,-12.05,-14.14,6.1,8088.82,9491.92,8983.59,-4091.93,15851418.78
15768175.3,0.39,-19.09,-6.57,-12.85,319.08,data_properties/JD_BASECASE_88_PORO.dat,data_properties/JD_BASECASE_88_PERMX.dat,229.08,-0.14,0.99,-11.94,-13.72,6.2,8016.9,9208.96,8629.18,-4159.1,16745128.96
21566389.83,0.2,-18.03,-6.93,-13.31,318.46,data_properties/JD_BASECASE_90_PORO.dat,data_properties/JD_BASECASE_90_PERMX.dat,228.46,-0.12,0.99,-11.81,-13.15,5.51,7928.41,8825.29,8936.6,-3699.11,17913277.65
20312984.89,0.35,-18.84,-5.93,-13.79,319.43,data_properties/JD_BASECASE_96_PORO.dat,data_properties/JD_BASECASE_96_PERMX.dat,229.43,-0.15,0.99,-11.39,-13.38,6.38,7646.18,8980.06,9259.03,-4282.55,17395719.89
23727889.32,0.33,-19.59,-6.9,-12.82,319.04,data_properties/JD_BASECASE_97_PORO.dat,data_properties/JD_BASECASE_97_PERMX.dat,229.04,-0.14,0.99,-12.35,-14.13,6.28,8290.84,9489.23,8604.77,-4217.46,15868915.55
16945708.95,0.27,-19.4,-6.71,-13.33,310.36,data_properties/JD_BASECASE_98_PORO.dat,data_properties/JD_BASECASE_98_PERMX.dat,220.36,0.16,0.99,-14.08,-12.03,6.26,9453.15,8078.98,8950.34,-4205.1,18207377.1
24107514.03,0.31,-19.18,-6.59,-13.66,319.01,data_properties/JD_BASECASE_100_PORO.dat,data_properties/JD_BASECASE_100_PERMX.dat,229.01,-0.14,0.99,-12.01,-13.76,6.23,8061.69,9240.68,9168.25,-4182.96,15970402.41
21340411.4,0.35,-19.12,-6.32,-11.58,318.27,data_properties/JD_BASECASE_105_PORO.dat,data_properties/JD_BASECASE_105_PERMX.dat,228.27,-0.11,0.99,-11.99,-13.45,6.36,8049.14,9028.69,7775.62,-4268.21,16864613.16
22884268.93,0.29,-19.47,-7.02,-13,318.29,data_properties/JD_BASECASE_109_PORO.dat,data_properties/JD_BASECASE_109_PERMX.dat,228.29,-0.11,0.99,-12.53,-13.96,6.18,8413.12,9370.78,8724.26,-4151.36,16884251.51
16507107.58,0.25,-18.52,-6,-12.39,319.86,data_properties/JD_BASECASE_115_PORO.dat,data_properties/JD_BASECASE_115_PERMX.dat,229.86,-0.17,0.99,-11.2,-13.32,6.17,7521.13,8940.82,8317.76,-4144.77,16425654.47
24829949.94,0.32,-18.71,-6.29,-11.63,319.91,data_properties/JD_BASECASE_123_PORO.dat,data_properties/JD_BASECASE_123_PERMX.dat,229.91,-0.17,0.99,-11.44,-13.56,6.12,7682.03,9104.1,7806.33,-4106.11,17477014.75
22489048.28,0.23,-19.14,-5.85,-13.13,319.93,data_properties/JD_BASECASE_125_PORO.dat,data_properties/JD_BASECASE_125_PERMX.dat,229.93,-0.17,0.99,-11.36,-13.63,6.54,7623.52,9151.17,8817.26,-4392.88,16555461.63
17270689.72,0.34,-19.48,-6.04,-11.81,318.72,data_properties/JD_BASECASE_126_PORO.dat,data_properties/JD_BASECASE_126_PERMX.dat,228.72,-0.13,0.99,-11.89,-13.63,6.66,7982.25,9148.98,7930.62,-4472.57,16310350.57
22068353.51,0.24,-17.68,-6.65,-12.55,318.09,data_properties/JD_BASECASE_129_PORO.dat,data_properties/JD_BASECASE_129_PERMX.dat,228.09,-0.11,0.99,-11.57,-12.76,5.49,7766.6,8564.63,8422.78,-3682.92,16412344.47
17027837.17,0.31,-16.74,-6.99,-13.11,319.11,data_properties/JD_BASECASE_130_PORO.dat,data_properties/JD_BASECASE_130_PERMX.dat,229.11,-0.14,0.99,-11.17,-12.56,4.83,7497.5,8433.66,8799.59,-3241.91,17517911.61
17123411.64,0.21,-16.58,-6.84,-12.5,319.47,data_properties/JD_BASECASE_131_PORO.dat,data_properties/JD_BASECASE_131_PERMX.dat,229.47,-0.16,0.99,-10.95,-12.47,4.81,7353.54,8369.46,8391.77,-3227.09,18099479.41
16220476.16,0.22,-18.58,-6.44,-13.84,319.3,data_properties/JD_BASECASE_134_PORO.dat,data_properties/JD_BASECASE_134_PERMX.dat,229.3,-0.15,0.99,-11.6,-13.42,6,7788.29,9005.98,9292.13,-4029.53,17159175.47
18026556.43,0.2,-18.3,-6.96,-13.47,318.11,data_properties/JD_BASECASE_135_PORO.dat,data_properties/JD_BASECASE_135_PERMX.dat,228.11,-0.11,0.99,-12.02,-13.25,5.64,8069.17,8892.95,9042.23,-3784.25,17357034.46
17479659.08,0.29,-16.33,-6.73,-12.62,318.47,data_properties/JD_BASECASE_140_PORO.dat,data_properties/JD_BASECASE_140_PERMX.dat,228.47,-0.12,0.99,-10.95,-12.11,4.77,7351.26,8129.21,8474.33,-3199.51,17770961.56
16083636.97,0.4,-18.49,-6.03,-13.63,305.73,data_properties/JD_BASECASE_141_PORO.dat,data_properties/JD_BASECASE_141_PERMX.dat,215.73,0.32,0.95,-14.24,-10.28,5.91,9559.72,6898.2,9150.7,-3966.83,15758476.34
19854880.95,0.36,-18.79,-6.33,-13.15,319.41,data_properties/JD_BASECASE_144_PORO.dat,data_properties/JD_BASECASE_144_PERMX.dat,229.41,-0.15,0.99,-11.61,-13.52,6.16,7791.31,9074.21,8831.08,-4132.28,15590512.26
16774974.12,0.21,-18.18,-5.88,-12.34,318.11,data_properties/JD_BASECASE_146_PORO.dat,data_properties/JD_BASECASE_146_PERMX.dat,228.11,-0.11,0.99,-11.36,-12.7,6.11,7629.06,8523.36,8284.79,-4102.49,17295894.37
19124121.86,0.21,-19.13,-6.15,-12.05,303.92,data_properties/JD_BASECASE_147_PORO.dat,data_properties/JD_BASECASE_147_PERMX.dat,213.92,0.38,0.93,-15.09,-10.19,6.01,10128.82,6842.68,8086.25,-4035.93,15663455.92
21980111.4,0.26,-19.61,-6.58,-12.3,319.69,data_properties/JD_BASECASE_150_PORO.dat,data_properties/JD_BASECASE_150_PERMX.dat,229.69,-0.16,0.99,-12.04,-14.16,6.43,8079.83,9506.56,8258.74,-4315.61,17442133.91
20619864.82,0.32,-18.62,-7.07,-12.12,319.98,data_properties/JD_BASECASE_152_PORO.dat,data_properties/JD_BASECASE_152_PERMX.dat,229.98,-0.17,0.98,-11.85,-13.84,5.68,7953.2,9292.99,8139,-3816.13,16111516.82
23290539.45,0.29,-19.72,-6.68,-12.72,315.21,data_properties/JD_BASECASE_153_PORO.dat,data_properties/JD_BASECASE_153_PERMX.dat,225.21,-0.01,1,-13.15,-13.25,6.52,8830.31,8894.15,8539.39,-4377.39,18351489.63
23016967.24,0.38,-18.76,-5.95,-13.08,318.5,data_properties/JD_BASECASE_156_PORO.dat,data_properties/JD_BASECASE_156_PERMX.dat,228.5,-0.12,0.99,-11.57,-13.13,6.36,7769.61,8815.97,8779.74,-4266.35,18558396.82
19545250.9,0.22,-18.96,-6.56,-13.46,305.44,data_properties/JD_BASECASE_158_PORO.dat,data_properties/JD_BASECASE_158_PERMX.dat,215.44,0.33,0.94,-14.79,-10.73,5.86,9930.51,7201.51,9035.2,-3935.56,17662602.41
23486982.69,0.36,-19.76,-6.89,-11.84,318.11,data_properties/JD_BASECASE_159_PORO.dat,data_properties/JD_BASECASE_159_PERMX.dat,228.11,-0.11,0.99,-12.63,-14.02,6.4,8476.29,9411.91,7949.1,-4294.81,16485499.78
16645965.41,0.25,-19.28,-6.06,-12.43,319.96,data_properties/JD_BASECASE_160_PORO.dat,data_properties/JD_BASECASE_160_PERMX.dat,229.96,-0.17,0.99,-11.53,-13.81,6.51,7741.51,9269.86,8348.02,-4370.07,16823497.63
15186127.08,0.38,-16.88,-6.47,-11.7,307.89,data_properties/JD_BASECASE_162_PORO.dat,data_properties/JD_BASECASE_162_PERMX.dat,217.89,0.25,0.97,-12.95,-10.39,5.04,8695.23,6978.39,7852.63,-3386.48,16646373.63
18415715.67,0.29,-18.91,-6.61,-12.27,319.53,data_properties/JD_BASECASE_163_PORO.dat,data_properties/JD_BASECASE_163_PERMX.dat,229.53,-0.16,0.99,-11.79,-13.73,6.08,7913.75,9215.74,8239.27,-4078.51,18267117.29
24891053.37,0.33,-19.36,-6.42,-12.24,318.91,data_properties/JD_BASECASE_164_PORO.dat,data_properties/JD_BASECASE_164_PERMX.dat,228.91,-0.14,0.99,-12.01,-13.77,6.41,8063.96,9244.88,8214.63,-4301.09,18452113.09
19364173.76,0.34,-18.85,-6.39,-12.05,318.96,data_properties/JD_BASECASE_166_PORO.dat,data_properties/JD_BASECASE_166_PERMX.dat,228.96,-0.14,0.99,-11.76,-13.48,6.17,7896.18,9048.16,8090.59,-4144.01,17071729.82
16836171.44,0.28,-19.3,-6.8,-13.83,319.83,data_properties/JD_BASECASE_169_PORO.dat,data_properties/JD_BASECASE_169_PERMX.dat,229.83,-0.17,0.99,-12,-14.1,6.16,8056.66,9464.87,9283.56,-4135.7,15676096.13
22892843.83,0.26,-18.4,-6.5,-11.95,318.71,data_properties/JD_BASECASE_171_PORO.dat,data_properties/JD_BASECASE_171_PERMX.dat,228.71,-0.13,0.99,-11.68,-13.22,5.9,7843.35,8875.25,8021.25,-3959.94,18673581.95
24427701.01,0.34,-18.14,-6.74,-11.53,318.11,data_properties/JD_BASECASE_176_PORO.dat,data_properties/JD_BASECASE_176_PERMX.dat,228.11,-0.11,0.99,-11.82,-13.05,5.67,7935.45,8763.84,7742.07,-3804.83,15729271.16
22361883.2,0.3,-19.08,-6.25,-11.86,319.23,data_properties/JD_BASECASE_181_PORO.dat,data_properties/JD_BASECASE_181_PERMX.dat,229.23,-0.15,0.99,-11.72,-13.61,6.35,7867.89,9134.51,7959.41,-4260.06,16374605.63
15975249,0.2,-17.21,-7.04,-11.5,318.63,data_properties/JD_BASECASE_185_PORO.dat,data_properties/JD_BASECASE_185_PERMX.dat,228.63,-0.13,0.99,-11.49,-12.77,5.04,7710.89,8572.52,7717.56,-3386.36,16926734.68
17907635.08,0.34,-18.94,-6.63,-11.45,319.36,data_properties/JD_BASECASE_187_PORO.dat,data_properties/JD_BASECASE_187_PERMX.dat,229.36,-0.15,0.99,-11.85,-13.72,6.08,7957.2,9211.15,7689.76,-4084.83,17966014.12
16363559.64,0.4,-18.83,-6.76,-12.88,319.9,data_properties/JD_BASECASE_189_PORO.dat,data_properties/JD_BASECASE_189_PERMX.dat,229.9,-0.17,0.99,-11.77,-13.82,5.95,7900.03,9278.13,8644.24,-3992.61,15300536.5
20924325.53,0.31,-18.21,-6.1,-13.01,318.72,data_properties/JD_BASECASE_190_PORO.dat,data_properties/JD_BASECASE_190_PERMX.dat,228.72,-0.13,0.99,-11.37,-12.94,6,7634.92,8687.89,8735.24,-4030.38,17408475.13
17668781.37,0.27,-17.77,-6.5,-12.47,318.49,data_properties/JD_BASECASE_193_PORO.dat,data_properties/JD_BASECASE_193_PERMX.dat,228.49,-0.12,0.99,-11.45,-12.82,5.59,7685.43,8606.21,8372.53,-3756.1,16067885.14
23335499.95,0.31,-19.68,-6.26,-12.77,318.11,data_properties/JD_BASECASE_194_PORO.dat,data_properties/JD_BASECASE_194_PERMX.dat,228.11,-0.11,0.99,-12.25,-13.7,6.67,8221.24,9196.09,8575.1,-4478.25,18000124.95
24592116.34,0.3,-18.2,-5.92,-12.21,301.65,data_properties/JD_BASECASE_197_PORO.dat,data_properties/JD_BASECASE_197_PERMX.dat,211.65,0.45,0.89,-14.82,-9.3,5.48,9949.71,6244.37,8197.62,-3682.19,17052403.98
16276499.15,0.3,-19.74,-5.99,-13.53,305.42,data_properties/JD_BASECASE_198_PORO.dat,data_properties/JD_BASECASE_198_PERMX.dat,215.42,0.33,0.94,-15.12,-10.61,6.49,10153.2,7123.17,9083.68,-4359.15,18413215.01
20519907.95,0.39,-18.57,-6.28,-12.94,319.66,data_properties/JD_BASECASE_199_PORO.dat,data_properties/JD_BASECASE_199_PERMX.dat,229.66,-0.16,0.99,-11.43,-13.42,6.07,7673.18,9010.69,8689.28,-4071.96,17874780.55
19323555.92,0.25,-18.51,-6.86,-12.75,301.54,data_properties/JD_BASECASE_200_PORO.dat,data_properties/JD_BASECASE_200_PERMX.dat,211.54,0.45,0.89,-15.32,-10.05,5.19,10284.83,6745.44,8557.91,-3485.99,18135943.18
