E_GPa,PR,SH_MPa/km,Sh_MPa/km,Sv_MPa/km,SH_azi_deg,PORO_file,PERMX_file,beta,cos_2beta,sin_2beta,sigma_x_grad,sigma_y_grad,tau_xy_grad,sigma_x_ref,sigma_y_ref,sigma_z_ref,tau_xy_ref
20730180.82,0.35,-16.69,-8.38,-12.57,315.66,data_properties/JD_BASECASE_70_PORO.dat,data_properties/JD_BASECASE_70_PERMX.dat,225.66,-0.02,1.00,-12.44,-12.63,4.15,8350.90,8479.35,8439.07,-2785.71
18166732.29,0.27,-19.46,-8.03,-11.75,309.55,data_properties/JD_BASECASE_72_PORO.dat,data_properties/JD_BASECASE_72_PERMX.dat,219.55,0.19,0.98,-14.83,-12.67,5.61,9953.65,8503.77,7885.02,-3766.67
22770270.52,0.38,-16.84,-8.39,-12.33,315.88,data_properties/JD_BASECASE_73_PORO.dat,data_properties/JD_BASECASE_73_PERMX.dat,225.88,-0.03,1.00,-12.49,-12.75,4.22,8382.02,8556.36,8279.48,-2834.07
24542206.64,0.27,-17.97,-7.94,-12.66,305.49,data_properties/JD_BASECASE_76_PORO.dat,data_properties/JD_BASECASE_76_PERMX.dat,215.49,0.33,0.95,-14.59,-11.32,4.74,9793.79,7600.43,8498.33,-3181.95
17860508.60,0.21,-18.67,-7.63,-13.19,300.28,data_properties/JD_BASECASE_77_PORO.dat,data_properties/JD_BASECASE_77_PERMX.dat,210.28,0.49,0.87,-15.86,-10.44,4.81,10650.51,7009.02,8855.74,-3226.18
17558807.26,0.24,-18.41,-7.35,-13.67,315.10,data_properties/JD_BASECASE_78_PORO.dat,data_properties/JD_BASECASE_78_PERMX.dat,225.10,-0.00,1.00,-12.86,-12.90,5.53,8632.79,8657.47,9179.76,-3711.69
24327390.04,0.40,-16.26,-7.76,-12.15,302.88,data_properties/JD_BASECASE_79_PORO.dat,data_properties/JD_BASECASE_79_PERMX.dat,212.88,0.41,0.91,-13.75,-10.27,3.87,9232.60,6892.67,8158.58,-2599.02
18661665.24,0.22,-18.55,-8.73,-13.22,305.14,data_properties/JD_BASECASE_82_PORO.dat,data_properties/JD_BASECASE_82_PERMX.dat,215.14,0.34,0.94,-15.30,-11.98,4.63,10271.33,8044.29,8873.92,-3105.20
24118986.19,0.38,-18.11,-8.50,-13.38,302.98,data_properties/JD_BASECASE_87_PORO.dat,data_properties/JD_BASECASE_87_PERMX.dat,212.98,0.41,0.91,-15.26,-11.35,4.39,10246.65,7620.35,8983.59,-2944.76
15768175.30,0.39,-17.79,-8.09,-12.85,313.53,data_properties/JD_BASECASE_88_PORO.dat,data_properties/JD_BASECASE_88_PERMX.dat,223.53,0.05,1.00,-13.19,-12.69,4.85,8854.14,8519.85,8629.18,-3253.36
21566389.83,0.20,-17.20,-8.53,-13.31,303.69,data_properties/JD_BASECASE_90_PORO.dat,data_properties/JD_BASECASE_90_PERMX.dat,213.69,0.38,0.92,-14.53,-11.20,4.00,9754.20,7515.78,8936.60,-2687.36
20312984.89,0.35,-17.47,-7.29,-13.79,301.67,data_properties/JD_BASECASE_96_PORO.dat,data_properties/JD_BASECASE_96_PERMX.dat,211.67,0.45,0.89,-14.66,-10.10,4.55,9845.07,6779.54,9259.03,-3051.85
23727889.32,0.33,-18.89,-8.49,-12.82,311.79,data_properties/JD_BASECASE_97_PORO.dat,data_properties/JD_BASECASE_97_PERMX.dat,221.79,0.11,0.99,-14.27,-13.11,5.17,9579.07,8798.94,8604.77,-3468.40
16945708.95,0.27,-18.17,-8.26,-13.33,309.97,data_properties/JD_BASECASE_98_PORO.dat,data_properties/JD_BASECASE_98_PERMX.dat,219.97,0.17,0.98,-14.08,-12.35,4.88,9451.12,8289.71,8950.34,-3274.46
24107514.03,0.31,-17.74,-8.12,-13.66,314.69,data_properties/JD_BASECASE_100_PORO.dat,data_properties/JD_BASECASE_100_PERMX.dat,224.69,0.01,1.00,-12.98,-12.88,4.81,8715.49,8644.72,9168.25,-3231.43
21340411.40,0.35,-16.62,-7.78,-11.58,304.58,data_properties/JD_BASECASE_105_PORO.dat,data_properties/JD_BASECASE_105_PERMX.dat,214.58,0.36,0.93,-13.77,-10.63,4.13,9245.35,7133.43,7775.62,-2773.38
22884268.93,0.29,-16.89,-8.64,-13.00,316.73,data_properties/JD_BASECASE_109_PORO.dat,data_properties/JD_BASECASE_109_PERMX.dat,226.73,-0.06,1.00,-12.52,-13.01,4.12,8402.66,8736.77,8724.26,-2763.99
16507107.58,0.25,-16.79,-7.38,-12.39,310.31,data_properties/JD_BASECASE_115_PORO.dat,data_properties/JD_BASECASE_115_PERMX.dat,220.31,0.16,0.99,-12.85,-11.32,4.64,8626.34,7597.83,8317.76,-3115.02
24829949.94,0.32,-17.34,-7.75,-11.63,312.66,data_properties/JD_BASECASE_123_PORO.dat,data_properties/JD_BASECASE_123_PERMX.dat,222.66,0.08,1.00,-12.93,-12.15,4.78,8682.43,8157.31,7806.33,-3208.10
22489048.28,0.23,-19.16,-7.20,-13.13,319.26,data_properties/JD_BASECASE_125_PORO.dat,data_properties/JD_BASECASE_125_PERMX.dat,229.26,-0.15,0.99,-12.30,-14.07,5.91,8255.29,9444.45,8817.26,-3970.45
17270689.72,0.34,-17.21,-7.43,-11.81,316.44,data_properties/JD_BASECASE_126_PORO.dat,data_properties/JD_BASECASE_126_PERMX.dat,226.44,-0.05,1.00,-12.08,-12.57,4.88,8108.48,8439.28,7930.62,-3278.74
22068353.51,0.24,-18.02,-8.18,-12.55,314.31,data_properties/JD_BASECASE_129_PORO.dat,data_properties/JD_BASECASE_129_PERMX.dat,224.31,0.02,1.00,-13.22,-12.98,4.92,8872.55,8712.53,8422.78,-3300.93
17027837.17,0.31,-17.41,-8.60,-13.11,306.62,data_properties/JD_BASECASE_130_PORO.dat,data_properties/JD_BASECASE_130_PERMX.dat,216.62,0.29,0.96,-14.28,-11.74,4.22,9585.00,7878.13,8799.59,-2833.46
17123411.64,0.21,-17.00,-8.42,-12.50,302.42,data_properties/JD_BASECASE_131_PORO.dat,data_properties/JD_BASECASE_131_PERMX.dat,212.42,0.43,0.91,-14.53,-10.89,3.88,9757.05,7309.10,8391.77,-2604.86
16220476.16,0.22,-19.38,-7.92,-13.84,317.22,data_properties/JD_BASECASE_134_PORO.dat,data_properties/JD_BASECASE_134_PERMX.dat,227.22,-0.08,1.00,-13.21,-14.09,5.71,8866.15,9461.19,9292.13,-3832.92
18026556.43,0.20,-18.23,-8.57,-13.47,304.06,data_properties/JD_BASECASE_135_PORO.dat,data_properties/JD_BASECASE_135_PERMX.dat,214.06,0.37,0.93,-15.20,-11.60,4.48,10202.72,7786.98,9042.23,-3008.23
17479659.08,0.29,-19.25,-8.28,-12.62,313.77,data_properties/JD_BASECASE_140_PORO.dat,data_properties/JD_BASECASE_140_PERMX.dat,223.77,0.04,1.00,-14.00,-13.53,5.48,9399.94,9084.05,8474.33,-3679.02
16083636.97,0.40,-19.31,-7.42,-13.63,304.84,data_properties/JD_BASECASE_141_PORO.dat,data_properties/JD_BASECASE_141_PERMX.dat,214.84,0.35,0.94,-15.43,-11.30,5.58,10358.27,7585.14,9150.70,-3744.97
19854880.95,0.36,-18.33,-7.79,-13.15,312.80,data_properties/JD_BASECASE_144_PORO.dat,data_properties/JD_BASECASE_144_PERMX.dat,222.80,0.08,1.00,-13.47,-12.66,5.25,9040.67,8498.47,8831.08,-3527.17
16774974.12,0.21,-17.40,-7.24,-12.34,302.07,data_properties/JD_BASECASE_146_PORO.dat,data_properties/JD_BASECASE_146_PERMX.dat,212.07,0.44,0.90,-14.53,-10.10,4.57,9756.59,6783.05,8284.79,-3067.68
19124121.86,0.21,-16.50,-7.57,-12.05,310.09,data_properties/JD_BASECASE_147_PORO.dat,data_properties/JD_BASECASE_147_PERMX.dat,220.09,0.17,0.99,-12.79,-11.27,4.40,8588.76,7565.79,8086.25,-2952.46
21980111.40,0.26,-17.51,-8.10,-12.30,304.94,data_properties/JD_BASECASE_150_PORO.dat,data_properties/JD_BASECASE_150_PERMX.dat,214.94,0.34,0.94,-14.42,-11.19,4.42,9683.67,7510.42,8258.74,-2965.43
20619864.82,0.32,-17.68,-8.71,-12.12,307.85,data_properties/JD_BASECASE_152_PORO.dat,data_properties/JD_BASECASE_152_PERMX.dat,217.85,0.25,0.97,-14.30,-12.08,4.35,9599.20,8111.51,8139.00,-2917.58
23290539.45,0.29,-18.86,-8.22,-12.72,304.24,data_properties/JD_BASECASE_153_PORO.dat,data_properties/JD_BASECASE_153_PERMX.dat,214.24,0.37,0.93,-15.49,-11.59,4.95,10402.21,7780.87,8539.39,-3322.71
23016967.24,0.38,-17.89,-7.32,-13.08,317.60,data_properties/JD_BASECASE_156_PORO.dat,data_properties/JD_BASECASE_156_PERMX.dat,227.60,-0.09,1.00,-12.13,-13.09,5.26,8143.27,8786.49,8779.74,-3533.99
19545250.90,0.22,-18.50,-8.07,-13.46,306.41,data_properties/JD_BASECASE_158_PORO.dat,data_properties/JD_BASECASE_158_PERMX.dat,216.41,0.30,0.96,-14.82,-11.74,4.98,9952.48,7883.80,9035.20,-3345.77
23486982.69,0.36,-17.81,-8.48,-11.84,317.34,data_properties/JD_BASECASE_159_PORO.dat,data_properties/JD_BASECASE_159_PERMX.dat,227.34,-0.08,1.00,-12.76,-13.52,4.65,8566.69,9078.09,7949.10,-3120.99
16645965.41,0.25,-17.53,-7.46,-12.43,307.44,data_properties/JD_BASECASE_160_PORO.dat,data_properties/JD_BASECASE_160_PERMX.dat,217.44,0.26,0.97,-13.81,-11.18,4.86,9271.15,7507.70,8348.02,-3264.06
15186127.08,0.38,-18.61,-7.96,-11.70,311.01,data_properties/JD_BASECASE_162_PORO.dat,data_properties/JD_BASECASE_162_PERMX.dat,221.01,0.14,0.99,-14.03,-12.55,5.27,9418.13,8424.22,7852.63,-3540.96
18415715.67,0.29,-18.16,-8.13,-12.27,319.42,data_properties/JD_BASECASE_163_PORO.dat,data_properties/JD_BASECASE_163_PERMX.dat,229.42,-0.15,0.99,-12.37,-13.92,4.95,8306.41,9341.78,8239.27,-3326.07
24891053.37,0.33,-17.60,-7.91,-12.24,313.84,data_properties/JD_BASECASE_164_PORO.dat,data_properties/JD_BASECASE_164_PERMX.dat,223.84,0.04,1.00,-12.95,-12.56,4.84,8692.51,8429.72,8214.63,-3250.17
19364173.76,0.34,-19.63,-7.86,-12.05,318.96,data_properties/JD_BASECASE_166_PORO.dat,data_properties/JD_BASECASE_166_PERMX.dat,228.96,-0.14,0.99,-12.93,-14.55,5.83,8682.38,9770.76,8090.59,-3910.96
16836171.44,0.28,-19.53,-8.37,-13.83,315.36,data_properties/JD_BASECASE_169_PORO.dat,data_properties/JD_BASECASE_169_PERMX.dat,225.36,-0.01,1.00,-13.88,-14.02,5.58,9318.80,9411.90,9283.56,-3745.92
22892843.83,0.26,-16.85,-8.00,-11.95,317.97,data_properties/JD_BASECASE_171_PORO.dat,data_properties/JD_BASECASE_171_PERMX.dat,227.97,-0.10,0.99,-11.97,-12.88,4.40,8033.95,8649.18,8021.25,-2952.17
24427701.01,0.34,-19.52,-8.29,-11.53,315.23,data_properties/JD_BASECASE_176_PORO.dat,data_properties/JD_BASECASE_176_PERMX.dat,225.23,-0.01,1.00,-13.86,-13.95,5.61,9303.75,9364.87,7742.07,-3768.24
22361883.20,0.30,-16.38,-7.69,-11.86,310.83,data_properties/JD_BASECASE_181_PORO.dat,data_properties/JD_BASECASE_181_PERMX.dat,220.83,0.15,0.99,-12.66,-11.40,4.30,8501.14,7654.44,7959.41,-2884.64
15975249.00,0.20,-16.21,-8.67,-11.50,305.71,data_properties/JD_BASECASE_185_PORO.dat,data_properties/JD_BASECASE_185_PERMX.dat,215.71,0.32,0.95,-13.64,-11.24,3.58,9159.11,7544.37,7717.56,-2400.47
17907635.08,0.34,-16.56,-8.16,-11.45,318.75,data_properties/JD_BASECASE_187_PORO.dat,data_properties/JD_BASECASE_187_PERMX.dat,228.75,-0.13,0.99,-11.81,-12.91,4.16,7930.31,8665.93,7689.76,-2795.24
16363559.64,0.40,-19.77,-8.32,-12.88,308.77,data_properties/JD_BASECASE_189_PORO.dat,data_properties/JD_BASECASE_189_PERMX.dat,218.77,0.22,0.98,-15.28,-12.81,5.59,10256.78,8599.22,8644.24,-3753.02
20924325.53,0.31,-17.85,-7.51,-13.01,303.94,data_properties/JD_BASECASE_190_PORO.dat,data_properties/JD_BASECASE_190_PERMX.dat,213.94,0.38,0.93,-14.63,-10.73,4.79,9820.01,7205.47,8735.24,-3214.92
17668781.37,0.27,-19.02,-8.00,-12.47,300.82,data_properties/JD_BASECASE_193_PORO.dat,data_properties/JD_BASECASE_193_PERMX.dat,210.82,0.48,0.88,-16.13,-10.89,4.85,10828.34,7310.80,8372.53,-3256.89
23335499.95,0.31,-18.69,-7.71,-12.77,311.18,data_properties/JD_BASECASE_194_PORO.dat,data_properties/JD_BASECASE_194_PERMX.dat,221.18,0.13,0.99,-13.93,-12.47,5.44,9349.51,8369.42,8575.10,-3652.62
24592116.34,0.30,-19.11,-7.29,-12.21,301.78,data_properties/JD_BASECASE_197_PORO.dat,data_properties/JD_BASECASE_197_PERMX.dat,211.78,0.45,0.90,-15.83,-10.57,5.29,10625.21,7093.38,8197.62,-3552.21
16276499.15,0.30,-19.69,-7.38,-13.53,312.25,data_properties/JD_BASECASE_198_PORO.dat,data_properties/JD_BASECASE_198_PERMX.dat,222.25,0.10,1.00,-14.12,-12.94,6.13,9479.77,8687.60,9083.68,-4112.94
20519907.95,0.39,-18.75,-7.73,-12.94,307.56,data_properties/JD_BASECASE_199_PORO.dat,data_properties/JD_BASECASE_199_PERMX.dat,217.56,0.26,0.97,-14.66,-11.83,5.33,9839.30,7939.04,8689.28,-3576.92
19323555.92,0.25,-19.66,-8.44,-12.75,316.60,data_properties/JD_BASECASE_200_PORO.dat,data_properties/JD_BASECASE_200_PERMX.dat,226.60,-0.06,1.00,-13.74,-14.37,5.60,9224.25,9644.10,8557.91,-3759.81
