E_GPa,PR,SH_MPa/km,Sh_MPa/km,Sv_MPa/km,SH_azi_deg,A_m2,PORO_file,PERMX_file,beta,cos_2beta,sin_2beta,sigma_x_grad,sigma_y_grad,tau_xy_grad,sigma_x_ref,sigma_y_ref,sigma_z_ref,tau_xy_ref
17196265.17,0.25,-18.90,-6.21,-11.80,319.28,17043555.35,data_properties/JD_BASECASE_468_PORO.dat,data_properties/JD_BASECASE_468_PERMX.dat,229.28,-0.15,0.99,-11.61,-13.50,6.27,7796.70,9064.32,7923.94,-4211.24
20813505.19,0.25,-19.11,-6.14,-13.88,302.72,16427751.36,data_properties/JD_BASECASE_471_PORO.dat,data_properties/JD_BASECASE_471_PERMX.dat,212.72,0.42,0.91,-15.32,-9.93,5.90,10285.00,6663.99,9319.02,-3960.89
21009605.41,0.38,-19.37,-6.29,-12.59,319.03,18255093.25,data_properties/JD_BASECASE_472_PORO.dat,data_properties/JD_BASECASE_472_PERMX.dat,229.03,-0.14,0.99,-11.92,-13.75,6.48,8000.12,9232.42,8453.81,-4346.94
17768010.09,0.23,-19.08,-6.79,-12.98,319.25,15531067.00,data_properties/JD_BASECASE_475_PORO.dat,data_properties/JD_BASECASE_475_PERMX.dat,229.25,-0.15,0.99,-12.03,-13.85,6.07,8074.79,9295.06,8711.55,-4078.23
17074951.09,0.35,-19.12,-7.02,-11.46,319.67,16800458.18,data_properties/JD_BASECASE_479_PORO.dat,data_properties/JD_BASECASE_479_PERMX.dat,229.67,-0.16,0.99,-12.09,-14.05,5.97,8115.28,9433.19,7696.41,-4007.41
21541940.41,0.20,-19.29,-7.08,-13.57,319.76,18067181.35,data_properties/JD_BASECASE_480_PORO.dat,data_properties/JD_BASECASE_480_PERMX.dat,229.76,-0.17,0.99,-12.18,-14.20,6.02,8174.22,9530.30,9111.53,-4043.22
16095365.09,0.32,-18.81,-6.88,-13.45,319.23,18237976.27,data_properties/JD_BASECASE_482_PORO.dat,data_properties/JD_BASECASE_482_PERMX.dat,229.23,-0.15,0.99,-11.97,-13.72,5.90,8033.23,9210.73,9027.01,-3962.13
19558020.15,0.34,-18.95,-6.83,-11.46,319.61,17229127.22,data_properties/JD_BASECASE_484_PORO.dat,data_properties/JD_BASECASE_484_PERMX.dat,229.61,-0.16,0.99,-11.92,-13.86,5.98,8000.04,9304.63,7693.05,-4016.92
23482982.45,0.27,-19.09,-6.31,-13.39,319.91,18151250.09,data_properties/JD_BASECASE_485_PORO.dat,data_properties/JD_BASECASE_485_PERMX.dat,229.91,-0.17,0.99,-11.61,-13.79,6.30,7792.15,9256.14,8987.21,-4226.99
23702588.61,0.36,-18.97,-6.43,-12.45,319.54,16610358.94,data_properties/JD_BASECASE_486_PORO.dat,data_properties/JD_BASECASE_486_PERMX.dat,229.54,-0.16,0.99,-11.71,-13.69,6.19,7861.17,9189.59,8358.21,-4154.61
20050116.76,0.35,-19.62,-6.17,-11.70,319.37,18308556.67,data_properties/JD_BASECASE_488_PORO.dat,data_properties/JD_BASECASE_488_PERMX.dat,229.37,-0.15,0.99,-11.87,-13.92,6.65,7970.14,9343.17,7857.08,-4461.49
20150315.15,0.21,-16.79,-6.02,-13.65,319.01,17410349.12,data_properties/JD_BASECASE_493_PORO.dat,data_properties/JD_BASECASE_493_PERMX.dat,229.01,-0.14,0.99,-10.65,-12.16,5.33,7151.52,8160.36,9164.46,-3577.17
19216440.29,0.39,-19.35,-6.40,-12.95,319.83,15462153.07,data_properties/JD_BASECASE_495_PORO.dat,data_properties/JD_BASECASE_495_PERMX.dat,229.83,-0.17,0.99,-11.79,-13.96,6.38,7914.46,9373.41,8694.87,-4286.25
15713896.44,0.24,-19.14,-7.11,-13.13,316.05,16572470.57,data_properties/JD_BASECASE_496_PORO.dat,data_properties/JD_BASECASE_496_PERMX.dat,226.05,-0.04,1.00,-12.90,-13.34,6.01,8661.13,8956.08,8813.78,-4034.97
19678170.74,0.26,-19.62,-6.24,-11.65,319.82,16505320.53,data_properties/JD_BASECASE_498_PORO.dat,data_properties/JD_BASECASE_498_PERMX.dat,229.82,-0.17,0.99,-11.81,-14.05,6.59,7928.81,9431.38,7821.80,-4426.26
24011268.55,0.33,-19.04,-6.10,-13.77,319.08,16657302.90,data_properties/JD_BASECASE_502_PORO.dat,data_properties/JD_BASECASE_502_PERMX.dat,229.08,-0.14,0.99,-11.65,-13.49,6.41,7821.25,9054.36,9242.32,-4300.18
23056468.15,0.30,-19.68,-6.91,-13.83,319.17,18454050.72,data_properties/JD_BASECASE_506_PORO.dat,data_properties/JD_BASECASE_506_PERMX.dat,229.17,-0.15,0.99,-12.37,-14.22,6.32,8303.52,9547.37,9284.63,-4240.67
18786554.38,0.34,-19.31,-6.47,-12.29,319.84,15701177.34,data_properties/JD_BASECASE_507_PORO.dat,data_properties/JD_BASECASE_507_PERMX.dat,229.84,-0.17,0.99,-11.81,-13.97,6.33,7931.08,9380.29,8250.53,-4249.76
24161553.61,0.31,-19.41,-6.54,-13.24,319.56,17545549.66,data_properties/JD_BASECASE_514_PORO.dat,data_properties/JD_BASECASE_514_PERMX.dat,229.56,-0.16,0.99,-11.95,-13.99,6.35,8023.28,9393.73,8890.63,-4264.46
24783037.58,0.21,-18.76,-6.74,-12.85,319.35,16052045.89,data_properties/JD_BASECASE_515_PORO.dat,data_properties/JD_BASECASE_515_PERMX.dat,229.35,-0.15,0.99,-11.84,-13.66,5.94,7949.92,9170.25,8627.47,-3987.63
22179192.59,0.36,-19.18,-6.35,-13.19,312.72,16723239.69,data_properties/JD_BASECASE_516_PORO.dat,data_properties/JD_BASECASE_516_PERMX.dat,222.72,0.08,1.00,-13.28,-12.25,6.40,8912.23,8226.95,8852.44,-4293.64
15915139.74,0.21,-19.12,-7.09,-13.43,319.14,17088659.13,data_properties/JD_BASECASE_519_PORO.dat,data_properties/JD_BASECASE_519_PERMX.dat,229.14,-0.14,0.99,-12.24,-13.97,5.95,8215.26,9379.60,9015.52,-3995.51
19486013.02,0.27,-19.15,-6.71,-12.80,319.10,18521765.50,data_properties/JD_BASECASE_520_PORO.dat,data_properties/JD_BASECASE_520_PERMX.dat,229.10,-0.14,0.99,-12.04,-13.82,6.16,8084.92,9275.50,8593.79,-4132.54
22339651.12,0.29,-19.22,-6.85,-13.94,319.56,18396367.98,data_properties/JD_BASECASE_521_PORO.dat,data_properties/JD_BASECASE_521_PERMX.dat,229.56,-0.16,0.99,-12.05,-14.02,6.11,8092.32,9409.47,9356.31,-4102.26
22927255.39,0.30,-19.41,-6.21,-13.59,319.71,17132142.11,data_properties/JD_BASECASE_522_PORO.dat,data_properties/JD_BASECASE_522_PERMX.dat,229.71,-0.16,0.99,-11.73,-13.89,6.51,7876.31,9326.81,9122.41,-4371.32
22579933.15,0.37,-18.93,-6.19,-12.73,319.95,15654081.86,data_properties/JD_BASECASE_524_PORO.dat,data_properties/JD_BASECASE_524_PERMX.dat,229.95,-0.17,0.99,-11.46,-13.65,6.28,7695.07,9165.81,8544.93,-4212.70
21833211.31,0.39,-19.25,-6.58,-12.18,319.75,15860802.32,data_properties/JD_BASECASE_525_PORO.dat,data_properties/JD_BASECASE_525_PERMX.dat,229.75,-0.16,0.99,-11.87,-13.96,6.25,7967.69,9370.74,8174.00,-4193.84
23251938.70,0.30,-16.32,-6.86,-13.07,319.37,16888505.25,data_properties/JD_BASECASE_531_PORO.dat,data_properties/JD_BASECASE_531_PERMX.dat,229.37,-0.15,0.99,-10.87,-12.31,4.67,7296.73,8261.91,8774.39,-3137.49
21975866.44,0.24,-18.60,-7.12,-12.34,319.76,15759814.40,data_properties/JD_BASECASE_532_PORO.dat,data_properties/JD_BASECASE_532_PERMX.dat,229.76,-0.17,0.99,-11.91,-13.81,5.66,7996.68,9270.46,8286.38,-3798.97
15182647.60,0.30,-19.21,-6.38,-12.62,319.07,16693282.45,data_properties/JD_BASECASE_533_PORO.dat,data_properties/JD_BASECASE_533_PERMX.dat,229.07,-0.14,0.99,-11.89,-13.70,6.35,7979.29,9198.83,8471.96,-4261.95
16832160.42,0.38,-19.47,-6.66,-12.94,319.62,18364775.94,data_properties/JD_BASECASE_537_PORO.dat,data_properties/JD_BASECASE_537_PERMX.dat,229.62,-0.16,0.99,-12.04,-14.09,6.32,8080.09,9460.98,8684.54,-4242.47
22773104.36,0.28,-19.68,-7.06,-13.75,319.72,16027630.66,data_properties/JD_BASECASE_540_PORO.dat,data_properties/JD_BASECASE_540_PERMX.dat,229.72,-0.16,0.99,-12.34,-14.41,6.23,8281.45,9671.38,9232.84,-4179.22
22250920.85,0.25,-19.60,-5.90,-13.21,319.04,17687566.51,data_properties/JD_BASECASE_541_PORO.dat,data_properties/JD_BASECASE_541_PERMX.dat,229.04,-0.14,0.99,-11.78,-13.71,6.78,7911.02,9204.02,8866.85,-4551.88
15556330.70,0.39,-19.79,-7.01,-11.90,319.40,15322761.99,data_properties/JD_BASECASE_544_PORO.dat,data_properties/JD_BASECASE_544_PERMX.dat,229.40,-0.15,0.99,-12.42,-14.38,6.32,8340.25,9651.81,7990.05,-4240.77
21401751.65,0.23,-19.27,-6.04,-11.99,302.08,16848303.76,data_properties/JD_BASECASE_548_PORO.dat,data_properties/JD_BASECASE_548_PERMX.dat,212.08,0.44,0.90,-15.54,-9.77,5.96,10432.94,6558.15,8051.20,-3999.42
17429570.19,0.27,-19.09,-6.64,-13.80,319.16,16201011.54,data_properties/JD_BASECASE_554_PORO.dat,data_properties/JD_BASECASE_554_PERMX.dat,229.16,-0.14,0.99,-11.97,-13.77,6.16,8034.35,9244.06,9265.88,-4134.73
20292722.94,0.37,-19.73,-6.25,-12.35,319.28,15890026.14,data_properties/JD_BASECASE_556_PORO.dat,data_properties/JD_BASECASE_556_PERMX.dat,229.28,-0.15,0.99,-11.99,-13.99,6.67,8046.94,9392.87,8290.78,-4475.02
15620830.23,0.33,-19.63,-6.69,-13.70,319.23,17858031.38,data_properties/JD_BASECASE_558_PORO.dat,data_properties/JD_BASECASE_558_PERMX.dat,229.23,-0.15,0.99,-12.21,-14.11,6.40,8196.63,9474.04,9198.26,-4297.79
16878715.43,0.34,-19.72,-6.27,-12.48,319.30,17513395.04,data_properties/JD_BASECASE_560_PORO.dat,data_properties/JD_BASECASE_560_PERMX.dat,229.30,-0.15,0.99,-11.99,-14.00,6.65,8048.27,9400.36,8378.86,-4465.21
16553194.68,0.33,-19.09,-6.00,-11.69,319.14,17999413.00,data_properties/JD_BASECASE_561_PORO.dat,data_properties/JD_BASECASE_561_PERMX.dat,229.14,-0.14,0.99,-11.60,-13.49,6.48,7790.41,9054.55,7846.59,-4347.34
20619492.83,0.21,-19.32,-6.17,-11.57,319.69,17361276.18,data_properties/JD_BASECASE_562_PORO.dat,data_properties/JD_BASECASE_562_PERMX.dat,229.69,-0.16,0.99,-11.67,-13.82,6.49,7835.61,9276.30,7769.94,-4356.64
16698998.32,0.32,-19.19,-6.89,-12.21,319.05,18642035.14,data_properties/JD_BASECASE_564_PORO.dat,data_properties/JD_BASECASE_564_PERMX.dat,229.05,-0.14,0.99,-12.17,-13.91,6.09,8172.38,9336.81,8193.93,-4087.89
24390128.56,0.34,-19.31,-6.71,-12.40,319.58,15934171.08,data_properties/JD_BASECASE_567_PORO.dat,data_properties/JD_BASECASE_567_PERMX.dat,229.58,-0.16,0.99,-12.01,-14.01,6.22,8061.33,9407.39,8323.25,-4172.58
21097359.35,0.22,-19.55,-6.28,-11.95,319.18,17910413.88,data_properties/JD_BASECASE_570_PORO.dat,data_properties/JD_BASECASE_570_PERMX.dat,229.18,-0.15,0.99,-11.95,-13.88,6.57,8025.25,9320.56,8024.67,-4407.53
17611018.72,0.25,-19.55,-5.89,-12.65,319.51,15589315.60,data_properties/JD_BASECASE_573_PORO.dat,data_properties/JD_BASECASE_573_PERMX.dat,229.51,-0.16,0.99,-11.65,-13.79,6.75,7820.96,9258.11,8491.97,-4530.05
18941830.79,0.28,-19.47,-6.92,-11.58,319.28,17843627.74,data_properties/JD_BASECASE_575_PORO.dat,data_properties/JD_BASECASE_575_PERMX.dat,229.28,-0.15,0.99,-12.27,-14.13,6.20,8233.94,9488.28,7773.07,-4165.19
18005212.62,0.27,-19.21,-7.14,-13.37,301.68,18431281.04,data_properties/JD_BASECASE_577_PORO.dat,data_properties/JD_BASECASE_577_PERMX.dat,211.68,0.45,0.89,-15.88,-10.47,5.39,10659.27,7026.09,8972.71,-3620.32
21266216.09,0.28,-19.10,-6.07,-13.09,319.37,17311917.47,data_properties/JD_BASECASE_578_PORO.dat,data_properties/JD_BASECASE_578_PERMX.dat,229.37,-0.15,0.99,-11.60,-13.58,6.44,7784.64,9114.03,8789.90,-4323.51
15252107.94,0.30,-19.32,-6.81,-13.54,319.50,17626553.10,data_properties/JD_BASECASE_579_PORO.dat,data_properties/JD_BASECASE_579_PERMX.dat,229.50,-0.16,0.99,-12.09,-14.05,6.18,8114.78,9429.68,9086.72,-4146.78
21358699.60,0.35,-19.57,-5.98,-13.04,319.12,18095264.83,data_properties/JD_BASECASE_580_PORO.dat,data_properties/JD_BASECASE_580_PERMX.dat,229.12,-0.14,0.99,-11.80,-13.75,6.72,7924.77,9233.05,8752.45,-4514.53
24749868.94,0.39,-19.07,-5.87,-12.88,319.13,15826668.39,data_properties/JD_BASECASE_582_PORO.dat,data_properties/JD_BASECASE_582_PERMX.dat,229.13,-0.14,0.99,-11.52,-13.42,6.53,7733.67,9006.47,8647.49,-4383.04
24524430.38,0.23,-18.92,-6.06,-12.24,319.84,17710627.44,data_properties/JD_BASECASE_583_PORO.dat,data_properties/JD_BASECASE_583_PERMX.dat,229.84,-0.17,0.99,-11.41,-13.57,6.34,7659.07,9112.20,8215.75,-4255.60
18153965.96,0.22,-18.99,-7.03,-11.50,319.39,16757244.84,data_properties/JD_BASECASE_584_PORO.dat,data_properties/JD_BASECASE_584_PERMX.dat,229.39,-0.15,0.99,-12.10,-13.93,5.91,8123.16,9349.58,7718.50,-3968.21
15043949.60,0.40,-19.02,-6.15,-11.77,319.17,18049052.12,data_properties/JD_BASECASE_586_PORO.dat,data_properties/JD_BASECASE_586_PERMX.dat,229.17,-0.15,0.99,-11.65,-13.51,6.37,7820.02,9073.01,7901.24,-4274.00
22012853.67,0.35,-19.32,-6.34,-13.91,319.80,17293450.26,data_properties/JD_BASECASE_587_PORO.dat,data_properties/JD_BASECASE_587_PERMX.dat,229.80,-0.17,0.99,-11.75,-13.91,6.40,7886.62,9339.78,9335.77,-4294.70
18042412.93,0.38,-19.22,-6.00,-13.73,319.91,17456785.62,data_properties/JD_BASECASE_589_PORO.dat,data_properties/JD_BASECASE_589_PERMX.dat,229.91,-0.17,0.99,-11.48,-13.74,6.51,7708.04,9222.07,9217.06,-4373.45
19112951.41,0.26,-19.73,-6.32,-12.74,319.83,15422048.70,data_properties/JD_BASECASE_590_PORO.dat,data_properties/JD_BASECASE_590_PERMX.dat,229.83,-0.17,0.99,-11.90,-14.15,6.61,7987.95,9498.26,8552.81,-4436.86
24996535.27,0.38,-19.09,-6.49,-12.82,319.71,17585888.73,data_properties/JD_BASECASE_593_PORO.dat,data_properties/JD_BASECASE_593_PERMX.dat,229.71,-0.16,0.99,-11.76,-13.82,6.21,7894.53,9279.40,8608.76,-4169.92
18392358.80,0.22,-19.24,-5.94,-12.04,318.36,17954134.52,data_properties/JD_BASECASE_594_PORO.dat,data_properties/JD_BASECASE_594_PERMX.dat,228.36,-0.12,0.99,-11.81,-13.37,6.61,7929.48,8975.50,8083.24,-4435.08
23503676.74,0.38,-18.92,-6.44,-11.54,319.10,16537221.82,data_properties/JD_BASECASE_595_PORO.dat,data_properties/JD_BASECASE_595_PERMX.dat,229.10,-0.14,0.99,-11.79,-13.57,6.17,7915.64,9110.20,7745.16,-4145.47
19857299.60,0.29,-18.95,-7.05,-12.42,319.91,16130034.34,data_properties/JD_BASECASE_596_PORO.dat,data_properties/JD_BASECASE_596_PERMX.dat,229.91,-0.17,0.99,-11.99,-14.02,5.86,8048.60,9411.94,8339.73,-3935.55
19331005.76,0.36,-17.73,-5.92,-12.28,319.58,17211436.78,data_properties/JD_BASECASE_599_PORO.dat,data_properties/JD_BASECASE_599_PERMX.dat,229.58,-0.16,0.99,-10.89,-12.76,5.83,7307.68,8568.64,8242.86,-3911.72
17469723.38,0.25,-19.65,-6.37,-12.76,319.90,18652938.23,data_properties/JD_BASECASE_601_PORO.dat,data_properties/JD_BASECASE_601_PERMX.dat,229.90,-0.17,0.99,-11.88,-14.14,6.55,7976.06,9494.18,8566.49,-4394.23
19971107.70,0.37,-19.53,-6.08,-13.47,319.56,16957096.12,data_properties/JD_BASECASE_602_PORO.dat,data_properties/JD_BASECASE_602_PERMX.dat,229.56,-0.16,0.99,-11.74,-13.87,6.64,7882.71,9314.73,9043.46,-4456.65
