E_GPa,PR,SH_MPa/km,Sh_MPa/km,Sv_MPa/km,SH_azi_deg,A_m2,PORO_file,PERMX_file,beta,cos_2beta,sin_2beta,sigma_x_grad,sigma_y_grad,tau_xy_grad,sigma_x_ref,sigma_y_ref,sigma_z_ref,tau_xy_ref
16627548.21,0.24,-17.81,-5.91,-13.37,316.86,18491900.64,data_properties/JD_BASECASE_34_PORO.dat,data_properties/JD_BASECASE_34_PERMX.dat,226.86,-0.06,1.00,-11.48,-12.25,5.94,7704.50,8223.67,8979.02,-3985.71
21382055.33,0.37,-17.12,-6.77,-13.94,303.38,17676709.38,data_properties/JD_BASECASE_37_PORO.dat,data_properties/JD_BASECASE_37_PERMX.dat,213.38,0.39,0.92,-13.99,-9.90,4.75,9388.64,6647.15,9360.87,-3190.91
19317341.08,0.20,-17.52,-6.15,-13.43,314.49,17220858.93,data_properties/JD_BASECASE_41_PORO.dat,data_properties/JD_BASECASE_41_PERMX.dat,224.49,0.02,1.00,-11.94,-11.73,5.68,8014.31,7877.84,9013.24,-3816.44
17414749.16,0.40,-19.33,-6.95,-13.16,304.33,16597103.99,data_properties/JD_BASECASE_42_PORO.dat,data_properties/JD_BASECASE_42_PERMX.dat,214.33,0.36,0.93,-15.39,-10.89,5.77,10332.99,7309.53,8836.50,-3870.91
17821579.68,0.40,-19.01,-6.83,-12.09,313.39,17729286.82,data_properties/JD_BASECASE_43_PORO.dat,data_properties/JD_BASECASE_43_PERMX.dat,223.39,0.06,1.00,-13.26,-12.58,6.08,8901.81,8443.06,8115.90,-4082.94
22577911.84,0.22,-18.22,-6.32,-11.61,309.05,16004747.30,data_properties/JD_BASECASE_44_PORO.dat,data_properties/JD_BASECASE_44_PERMX.dat,219.05,0.21,0.98,-13.50,-11.05,5.82,9061.81,7415.50,7796.87,-3908.77
23655993.84,0.27,-16.22,-6.86,-12.48,300.49,15936638.60,data_properties/JD_BASECASE_45_PORO.dat,data_properties/JD_BASECASE_45_PERMX.dat,210.49,0.49,0.87,-13.81,-9.27,4.09,9272.70,6224.06,8377.32,-2747.47
16040337.07,0.34,-18.75,-6.91,-12.41,309.48,16239882.48,data_properties/JD_BASECASE_46_PORO.dat,data_properties/JD_BASECASE_46_PERMX.dat,219.48,0.19,0.98,-13.96,-11.70,5.81,9374.04,7851.74,8329.77,-3901.24
15846134.03,0.29,-16.72,-6.21,-12.72,312.54,15370493.39,data_properties/JD_BASECASE_47_PORO.dat,data_properties/JD_BASECASE_47_PERMX.dat,222.54,0.09,1.00,-11.91,-11.01,5.23,7996.31,7391.84,8540.07,-3514.36
24061347.40,0.23,-18.28,-6.59,-13.32,319.84,16766303.31,data_properties/JD_BASECASE_50_PORO.dat,data_properties/JD_BASECASE_50_PERMX.dat,229.84,-0.17,0.99,-11.46,-13.42,5.76,7690.36,9010.57,8939.27,-3867.29
19055988.99,0.29,-16.44,-6.43,-11.95,306.65,16999712.87,data_properties/JD_BASECASE_52_PORO.dat,data_properties/JD_BASECASE_52_PERMX.dat,216.65,0.29,0.96,-12.88,-10.00,4.80,8643.57,6710.08,8021.44,-3220.88
16838345.27,0.21,-18.63,-7.12,-13.90,305.69,16285991.49,data_properties/JD_BASECASE_56_PORO.dat,data_properties/JD_BASECASE_56_PERMX.dat,215.69,0.32,0.95,-14.72,-11.04,5.45,9880.08,7411.63,9333.41,-3661.44
18611176.74,0.24,-16.82,-6.54,-12.23,314.22,16190144.83,data_properties/JD_BASECASE_59_PORO.dat,data_properties/JD_BASECASE_59_PERMX.dat,224.22,0.03,1.00,-11.82,-11.54,5.14,7935.78,7747.84,8207.11,-3449.10
19837800.48,0.39,-18.96,-5.98,-12.94,301.08,18630335.89,data_properties/JD_BASECASE_62_PORO.dat,data_properties/JD_BASECASE_62_PERMX.dat,211.08,0.47,0.88,-15.50,-9.44,5.74,10406.53,6337.68,8687.69,-3853.55
15088071.10,0.30,-19.58,-6.88,-13.27,319.14,18051033.63,data_properties/JD_BASECASE_63_PORO.dat,data_properties/JD_BASECASE_63_PERMX.dat,229.14,-0.14,0.99,-12.32,-14.15,6.28,8268.12,9496.34,8909.73,-4219.18
24729312.77,0.39,-17.47,-6.67,-12.45,316.19,18179515.13,data_properties/JD_BASECASE_67_PORO.dat,data_properties/JD_BASECASE_67_PERMX.dat,226.19,-0.04,1.00,-11.85,-12.29,5.39,7953.73,8253.93,8356.95,-3620.96
18721365.02,0.32,-16.92,-6.03,-12.54,308.72,15528005.19,data_properties/JD_BASECASE_70_PORO.dat,data_properties/JD_BASECASE_70_PERMX.dat,218.72,0.22,0.98,-12.66,-10.29,5.32,8497.87,6908.37,8419.59,-3569.92
21663421.77,0.33,-19.38,-6.31,-11.57,303.03,16121455.82,data_properties/JD_BASECASE_72_PORO.dat,data_properties/JD_BASECASE_72_PERMX.dat,213.03,0.41,0.91,-15.50,-10.19,5.97,10402.71,6842.89,7766.49,-4009.03
17118986.19,0.39,-16.99,-6.35,-13.58,315.65,18303164.83,data_properties/JD_BASECASE_73_PORO.dat,data_properties/JD_BASECASE_73_PERMX.dat,225.65,-0.02,1.00,-11.55,-11.79,5.32,7752.17,7914.27,9116.21,-3571.74
18037405.20,0.36,-17.16,-6.55,-12.96,306.24,16952492.21,data_properties/JD_BASECASE_76_PORO.dat,data_properties/JD_BASECASE_76_PERMX.dat,216.24,0.30,0.95,-13.45,-10.26,5.06,9028.83,6886.13,8698.70,-3395.35
16892487.75,0.31,-16.87,-6.04,-11.89,307.49,15561570.41,data_properties/JD_BASECASE_77_PORO.dat,data_properties/JD_BASECASE_77_PERMX.dat,217.49,0.26,0.97,-12.86,-10.05,5.23,8631.66,6748.71,7979.98,-3509.09
24297224.04,0.29,-16.30,-6.78,-12.22,309.74,16212052.32,data_properties/JD_BASECASE_78_PORO.dat,data_properties/JD_BASECASE_78_PERMX.dat,219.74,0.18,0.98,-12.41,-10.67,4.68,8330.85,7164.26,8203.26,-3141.58
17982253.93,0.35,-16.42,-6.11,-11.63,314.76,17611954.29,data_properties/JD_BASECASE_79_PORO.dat,data_properties/JD_BASECASE_79_PERMX.dat,224.76,0.01,1.00,-11.31,-11.22,5.15,7593.41,7534.69,7809.18,-3458.85
20096979.98,0.24,-17.50,-6.58,-11.92,306.02,17554858.64,data_properties/JD_BASECASE_82_PORO.dat,data_properties/JD_BASECASE_82_PERMX.dat,216.02,0.31,0.95,-13.72,-10.36,5.19,9211.11,6952.16,8005.29,-3485.37
16229300.28,0.30,-17.30,-6.90,-13.73,310.80,15851418.78,data_properties/JD_BASECASE_87_PORO.dat,data_properties/JD_BASECASE_87_PERMX.dat,220.80,0.15,0.99,-12.86,-11.34,5.14,8632.07,7612.01,9215.56,-3454.01
15689019.73,0.30,-17.88,-6.80,-11.68,314.35,16745128.96,data_properties/JD_BASECASE_88_PORO.dat,data_properties/JD_BASECASE_88_PERMX.dat,224.35,0.02,1.00,-12.46,-12.21,5.54,8367.94,8198.47,7838.54,-3720.10
20260163.66,0.22,-17.32,-6.16,-13.79,311.81,17913277.65,data_properties/JD_BASECASE_90_PORO.dat,data_properties/JD_BASECASE_90_PERMX.dat,221.81,0.11,0.99,-12.36,-11.12,5.54,8298.79,7465.74,9255.98,-3722.34
22023764.97,0.33,-17.20,-6.26,-12.59,317.54,17395719.89,data_properties/JD_BASECASE_96_PORO.dat,data_properties/JD_BASECASE_96_PERMX.dat,227.54,-0.09,1.00,-11.25,-12.22,5.45,7550.99,8201.35,8454.46,-3657.11
19513917.44,0.32,-19.42,-7.03,-13.05,304.63,15868915.55,data_properties/JD_BASECASE_97_PORO.dat,data_properties/JD_BASECASE_97_PERMX.dat,214.63,0.35,0.94,-15.42,-11.03,5.79,10353.55,7406.88,8760.25,-3889.11
23888649.14,0.25,-17.97,-6.65,-12.76,316.99,18207377.10,data_properties/JD_BASECASE_98_PORO.dat,data_properties/JD_BASECASE_98_PERMX.dat,226.99,-0.07,1.00,-11.92,-12.70,5.65,8001.53,8528.58,8564.82,-3791.50
21250059.39,0.21,-16.37,-6.13,-12.01,303.95,15970402.41,data_properties/JD_BASECASE_100_PORO.dat,data_properties/JD_BASECASE_100_PERMX.dat,213.95,0.38,0.93,-13.18,-9.33,4.74,8848.21,6262.29,8060.67,-3184.88
24806010.40,0.27,-18.43,-5.88,-11.83,306.00,16864613.16,data_properties/JD_BASECASE_105_PORO.dat,data_properties/JD_BASECASE_105_PERMX.dat,216.00,0.31,0.95,-14.10,-10.21,5.97,9463.07,6857.47,7941.04,-4007.94
20620874.99,0.36,-18.54,-6.06,-12.30,316.43,16884251.51,data_properties/JD_BASECASE_109_PORO.dat,data_properties/JD_BASECASE_109_PERMX.dat,226.43,-0.05,1.00,-11.99,-12.61,6.23,8047.68,8465.28,8256.18,-4183.22
23994585.70,0.30,-17.71,-6.50,-11.86,302.82,16425654.47,data_properties/JD_BASECASE_115_PORO.dat,data_properties/JD_BASECASE_115_PERMX.dat,212.82,0.41,0.91,-14.41,-9.79,5.11,9676.73,6572.49,7965.24,-3429.08
19747249.62,0.37,-18.33,-6.27,-11.76,312.20,17477014.75,data_properties/JD_BASECASE_123_PORO.dat,data_properties/JD_BASECASE_123_PERMX.dat,222.20,0.10,1.00,-12.89,-11.71,6.00,8652.87,7861.37,7897.14,-4029.00
22865224.03,0.39,-18.06,-6.43,-13.84,308.64,16555461.63,data_properties/JD_BASECASE_125_PORO.dat,data_properties/JD_BASECASE_125_PERMX.dat,218.64,0.22,0.98,-13.53,-10.97,5.67,9081.58,7363.21,9291.01,-3808.50
21886085.23,0.36,-17.88,-6.74,-11.49,310.29,16310350.57,data_properties/JD_BASECASE_126_PORO.dat,data_properties/JD_BASECASE_126_PERMX.dat,220.29,0.16,0.99,-13.22,-11.39,5.50,8872.94,7649.67,7716.39,-3689.39
19189350.63,0.28,-16.63,-7.07,-11.70,302.40,16412344.47,data_properties/JD_BASECASE_129_PORO.dat,data_properties/JD_BASECASE_129_PERMX.dat,212.40,0.43,0.90,-13.88,-9.82,4.32,9321.42,6591.49,7855.51,-2901.92
22249116.37,0.30,-19.08,-6.37,-12.12,303.30,17517911.61,data_properties/JD_BASECASE_130_PORO.dat,data_properties/JD_BASECASE_130_PERMX.dat,213.30,0.40,0.92,-15.24,-10.20,5.83,10234.01,6846.55,8136.06,-3915.37
21700495.21,0.37,-17.79,-6.39,-12.34,315.43,18099479.41,data_properties/JD_BASECASE_131_PORO.dat,data_properties/JD_BASECASE_131_PERMX.dat,225.43,-0.01,1.00,-12.00,-12.17,5.70,8058.42,8172.64,8286.16,-3825.27
17032336.69,0.28,-18.59,-6.94,-13.67,301.35,17159175.47,data_properties/JD_BASECASE_134_PORO.dat,data_properties/JD_BASECASE_134_PERMX.dat,211.35,0.46,0.89,-15.44,-10.09,5.18,10364.92,6776.17,9177.20,-3476.42
18133306.78,0.23,-17.18,-6.61,-13.71,317.58,17357034.46,data_properties/JD_BASECASE_135_PORO.dat,data_properties/JD_BASECASE_135_PERMX.dat,227.58,-0.09,1.00,-11.42,-12.37,5.26,7664.98,8303.82,9204.42,-3533.42
20709204.91,0.31,-19.65,-5.89,-12.83,312.68,17770961.56,data_properties/JD_BASECASE_140_PORO.dat,data_properties/JD_BASECASE_140_PERMX.dat,222.68,0.08,1.00,-13.33,-12.21,6.85,8946.22,8197.66,8612.23,-4601.96
17497225.54,0.20,-17.67,-6.22,-11.59,311.04,15758476.34,data_properties/JD_BASECASE_141_PORO.dat,data_properties/JD_BASECASE_141_PERMX.dat,221.04,0.14,0.99,-12.73,-11.15,5.67,8547.15,7488.09,7777.81,-3805.32
16514193.79,0.37,-16.26,-5.96,-12.37,307.94,15590512.26,data_properties/JD_BASECASE_144_PORO.dat,data_properties/JD_BASECASE_144_PERMX.dat,217.94,0.24,0.97,-12.36,-9.85,4.99,8300.40,6614.28,8303.50,-3353.18
22187332.86,0.25,-16.90,-6.63,-13.64,318.24,17295894.37,data_properties/JD_BASECASE_146_PORO.dat,data_properties/JD_BASECASE_146_PERMX.dat,228.24,-0.11,0.99,-11.19,-12.35,5.10,7510.81,8288.07,9154.31,-3426.71
15381331.98,0.28,-17.75,-5.99,-13.54,300.17,15663455.92,data_properties/JD_BASECASE_147_PORO.dat,data_properties/JD_BASECASE_147_PERMX.dat,210.17,0.49,0.87,-14.78,-8.96,5.11,9920.83,6013.56,9087.43,-3431.05
21480388.25,0.23,-16.76,-6.08,-11.82,305.34,17442133.91,data_properties/JD_BASECASE_150_PORO.dat,data_properties/JD_BASECASE_150_PERMX.dat,215.34,0.33,0.94,-13.19,-9.65,5.03,8852.55,6481.52,7935.17,-3380.14
16337288.27,0.25,-18.09,-6.98,-12.06,301.31,16111516.82,data_properties/JD_BASECASE_152_PORO.dat,data_properties/JD_BASECASE_152_PERMX.dat,211.31,0.46,0.89,-15.09,-9.98,4.93,10128.84,6699.24,8097.04,-3310.36
23442391.44,0.27,-17.41,-6.10,-13.47,318.06,18351489.63,data_properties/JD_BASECASE_153_PORO.dat,data_properties/JD_BASECASE_153_PERMX.dat,228.06,-0.11,0.99,-11.16,-12.36,5.62,7490.23,8298.93,9046.13,-3774.75
23735223.37,0.29,-18.64,-7.10,-13.55,318.60,18558396.82,data_properties/JD_BASECASE_156_PORO.dat,data_properties/JD_BASECASE_156_PERMX.dat,228.60,-0.13,0.99,-12.15,-13.59,5.73,8154.62,9125.72,9098.58,-3845.61
21047221.73,0.26,-19.25,-7.02,-12.50,308.22,17662602.41,data_properties/JD_BASECASE_158_PORO.dat,data_properties/JD_BASECASE_158_PERMX.dat,218.22,0.23,0.97,-14.57,-11.70,5.95,9781.02,7855.39,8393.56,-3992.62
24903828.31,0.36,-18.71,-7.00,-12.85,315.80,16485499.78,data_properties/JD_BASECASE_159_PORO.dat,data_properties/JD_BASECASE_159_PERMX.dat,225.80,-0.03,1.00,-12.69,-13.02,5.85,8522.29,8740.47,8624.82,-3927.20
20497903.81,0.24,-19.51,-6.00,-13.00,302.66,16823497.63,data_properties/JD_BASECASE_160_PORO.dat,data_properties/JD_BASECASE_160_PERMX.dat,212.66,0.42,0.91,-15.58,-9.93,6.14,10457.43,6668.28,8724.46,-4121.58
17557670.26,0.22,-18.46,-6.84,-12.64,317.93,16646373.63,data_properties/JD_BASECASE_162_PORO.dat,data_properties/JD_BASECASE_162_PERMX.dat,227.93,-0.10,0.99,-12.06,-13.25,5.78,8096.99,8892.41,8486.21,-3880.03
20950163.45,0.38,-18.26,-6.68,-13.23,300.30,18267117.29,data_properties/JD_BASECASE_163_PORO.dat,data_properties/JD_BASECASE_163_PERMX.dat,210.30,0.49,0.87,-15.31,-9.63,5.04,10281.19,6464.00,8880.13,-3385.92
15928995.06,0.26,-17.39,-7.15,-12.15,304.71,18452113.09,data_properties/JD_BASECASE_164_PORO.dat,data_properties/JD_BASECASE_164_PERMX.dat,214.71,0.35,0.94,-14.07,-10.47,4.79,9444.13,7028.06,8156.72,-3216.94
18233828.75,0.27,-16.60,-6.37,-13.76,304.03,17071729.82,data_properties/JD_BASECASE_166_PORO.dat,data_properties/JD_BASECASE_166_PERMX.dat,214.03,0.37,0.93,-13.39,-9.58,4.74,8991.55,6428.82,9238.81,-3182.39
23264452.34,0.29,-18.76,-7.08,-13.03,318.90,15676096.13,data_properties/JD_BASECASE_169_PORO.dat,data_properties/JD_BASECASE_169_PERMX.dat,228.90,-0.14,0.99,-12.13,-13.71,5.79,8142.44,9206.72,8744.82,-3885.76
18521150.62,0.27,-16.78,-6.33,-12.26,306.75,18673581.95,data_properties/JD_BASECASE_171_PORO.dat,data_properties/JD_BASECASE_171_PERMX.dat,216.75,0.28,0.96,-13.04,-10.07,5.01,8753.36,6762.24,8231.69,-3361.50
15457734.10,0.31,-18.84,-6.48,-13.63,313.30,15729271.16,data_properties/JD_BASECASE_176_PORO.dat,data_properties/JD_BASECASE_176_PERMX.dat,223.30,0.06,1.00,-13.03,-12.29,6.17,8745.77,8252.73,9149.98,-4144.26
19897047.21,0.22,-18.95,-6.50,-12.33,313.73,16374605.63,data_properties/JD_BASECASE_181_PORO.dat,data_properties/JD_BASECASE_181_PERMX.dat,223.73,0.04,1.00,-13.00,-12.45,6.22,8730.18,8358.24,8277.54,-4175.95
24584195.17,0.25,-18.92,-5.95,-12.70,308.23,16926734.68,data_properties/JD_BASECASE_185_PORO.dat,data_properties/JD_BASECASE_185_PERMX.dat,218.23,0.23,0.97,-13.95,-10.91,6.30,9366.76,7326.61,8524.34,-4232.71
22983932.00,0.35,-16.50,-6.75,-13.39,310.66,17966014.12,data_properties/JD_BASECASE_187_PORO.dat,data_properties/JD_BASECASE_187_PERMX.dat,220.66,0.15,0.99,-12.36,-10.89,4.82,8296.72,7309.08,8990.17,-3233.85
22748409.43,0.26,-18.39,-6.08,-12.81,319.57,15300536.50,data_properties/JD_BASECASE_189_PORO.dat,data_properties/JD_BASECASE_189_PERMX.dat,229.57,-0.16,0.99,-11.26,-13.21,6.08,7557.80,8870.09,8598.30,-4079.47
15251788.80,0.32,-17.04,-6.69,-12.67,315.07,17408475.13,data_properties/JD_BASECASE_190_PORO.dat,data_properties/JD_BASECASE_190_PERMX.dat,225.07,-0.00,1.00,-11.85,-11.88,5.18,7958.02,7974.07,8502.47,-3475.69
20170660.38,0.21,-17.26,-6.45,-12.73,318.83,16067885.14,data_properties/JD_BASECASE_193_PORO.dat,data_properties/JD_BASECASE_193_PERMX.dat,228.83,-0.13,0.99,-11.13,-12.58,5.36,7475.10,8442.99,8546.31,-3597.45
16183813.30,0.34,-19.13,-5.93,-11.53,300.68,18000124.95,data_properties/JD_BASECASE_194_PORO.dat,data_properties/JD_BASECASE_194_PERMX.dat,210.68,0.48,0.88,-15.69,-9.36,5.79,10533.85,6286.67,7741.70,-3888.02
18435631.15,0.33,-17.61,-7.05,-11.77,315.29,17052403.98,data_properties/JD_BASECASE_197_PORO.dat,data_properties/JD_BASECASE_197_PERMX.dat,225.29,-0.01,1.00,-12.28,-12.38,5.28,8242.11,8313.06,7902.16,-3543.66
17724494.55,0.37,-18.17,-6.56,-12.90,305.05,18413215.01,data_properties/JD_BASECASE_198_PORO.dat,data_properties/JD_BASECASE_198_PERMX.dat,215.05,0.34,0.94,-14.34,-10.39,5.46,9629.31,6976.01,8660.38,-3665.89
19613218.28,0.38,-19.19,-6.40,-11.43,319.54,17874780.55,data_properties/JD_BASECASE_199_PORO.dat,data_properties/JD_BASECASE_199_PERMX.dat,229.54,-0.16,0.99,-11.79,-13.80,6.31,7912.47,9267.33,7674.04,-4238.33
17292933.94,0.34,-16.52,-5.90,-12.44,312.32,18135943.18,data_properties/JD_BASECASE_200_PORO.dat,data_properties/JD_BASECASE_200_PERMX.dat,222.32,0.09,1.00,-11.71,-10.71,5.29,7859.21,7192.37,8349.49,-3551.30
