E_GPa,PR,SH_MPa/km,Sh_MPa/km,Sv_MPa/km,SH_azi_deg,PORO_file,PERMX_file,beta,cos_2beta,sin_2beta,sigma_x_grad,sigma_y_grad,tau_xy_grad,sigma_x_ref,sigma_y_ref,sigma_z_ref,tau_xy_ref,A_m2
19651344.95,0.36,-18.9643,-6.09,-13.87,319.7118,data_properties/JD_BASECASE_46_PORO.dat,data_properties/JD_BASECASE_46_PERMX.dat,210.53,0.48,0.88,-15.21,-9.26,5.38,10208.8,6215.52,9314.25,-3611.78,16239882.48
19973353.59,0.35,-16.995,-7.06,-13.89,319.3241,data_properties/JD_BASECASE_47_PORO.dat,data_properties/JD_BASECASE_47_PERMX.dat,213.38,0.39,0.92,-13.95,-10.05,4.54,9362.05,6745.83,9327.22,-3045.61,15370493.39
19731654.39,0.39,-17.2129,-6.23,-12.96,318.4069,data_properties/JD_BASECASE_50_PORO.dat,data_properties/JD_BASECASE_50_PERMX.dat,215.78,0.32,0.95,-14.68,-10.62,6.09,9854.69,7130.08,8701.36,-4086.85,16766303.31
22211549.4,0.28,-16.3402,-6.01,-11.66,311.2705,data_properties/JD_BASECASE_52_PORO.dat,data_properties/JD_BASECASE_52_PERMX.dat,210.04,0.5,0.87,-14.26,-8.77,4.77,9574.16,5887.54,7827.87,-3204.22,16999712.87
21024020.62,0.24,-17.7792,-6.63,-13.56,315.5652,data_properties/JD_BASECASE_56_PORO.dat,data_properties/JD_BASECASE_56_PERMX.dat,222.08,0.1,0.99,-13.33,-12.09,6.05,8949.33,8117.73,9100.02,-4063.73,16285991.49
21517768.63,0.36,-19.5347,-6.16,-11.74,313.6643,data_properties/JD_BASECASE_59_PORO.dat,data_properties/JD_BASECASE_59_PERMX.dat,218.51,0.22,0.97,-14.15,-11.22,6.36,9500.36,7532.05,7879.44,-4271.87,16190144.83
18917257.92,0.25,-19.6571,-6.36,-13.37,304.3796,data_properties/JD_BASECASE_62_PORO.dat,data_properties/JD_BASECASE_62_PERMX.dat,227.1,-0.07,1,-11.18,-11.94,5.18,7503.33,8013.47,8972.45,-3478.01,18630335.89
22604992.37,0.26,-16.3692,-6.79,-13.05,319.118,data_properties/JD_BASECASE_63_PORO.dat,data_properties/JD_BASECASE_63_PERMX.dat,218.92,0.21,0.98,-12.58,-10.56,4.67,8442.05,7088.81,8762.72,-3137.59,18051033.63
21321299.74,0.33,-17.1075,-6.4,-13.96,313.1368,data_properties/JD_BASECASE_67_PORO.dat,data_properties/JD_BASECASE_67_PERMX.dat,226.12,-0.04,1,-12.11,-12.58,5.94,8133.12,8445.54,9371.34,-3989.59,18179515.13
20730180.82,0.35,-17.0086,-6.81,-12.57,319.3077,data_properties/JD_BASECASE_70_PORO.dat,data_properties/JD_BASECASE_70_PERMX.dat,225.66,-0.02,1,-11.64,-11.86,4.94,7811.05,7963.83,8439.07,-3313.26,15528005.19
18166732.29,0.27,-16.7336,-6.53,-11.75,303.1887,data_properties/JD_BASECASE_72_PORO.dat,data_properties/JD_BASECASE_72_PERMX.dat,219.55,0.19,0.98,-14.22,-11.77,6.35,9543.61,7902.63,7885.02,-4263.15,16121455.82
22770270.52,0.38,-19.1501,-6.82,-12.33,305.6829,data_properties/JD_BASECASE_73_PORO.dat,data_properties/JD_BASECASE_73_PERMX.dat,225.88,-0.03,1,-11.67,-11.98,5.01,7837.62,8044.43,8279.48,-3361.99,18303164.83
24542206.64,0.27,-18.2653,-6.45,-12.66,312.3835,data_properties/JD_BASECASE_76_PORO.dat,data_properties/JD_BASECASE_76_PERMX.dat,215.49,0.33,0.95,-14.09,-10.33,5.44,9456.83,6937.74,8498.33,-3654.5,16952492.21
17860508.6,0.21,-19.1348,-6.2,-13.19,314.2039,data_properties/JD_BASECASE_77_PORO.dat,data_properties/JD_BASECASE_77_PERMX.dat,210.28,0.49,0.87,-15.5,-9.37,5.43,10406.18,6292.37,8855.74,-3644.63,15561570.41
17558807.26,0.24,-18.8004,-5.97,-13.67,306.5869,data_properties/JD_BASECASE_78_PORO.dat,data_properties/JD_BASECASE_78_PERMX.dat,225.1,0,1,-12.17,-12.21,6.22,8168.75,8196.5,9179.76,-4174.2,16212052.32
24327390.04,0.4,-16.8117,-6.31,-12.15,319.5996,data_properties/JD_BASECASE_79_PORO.dat,data_properties/JD_BASECASE_79_PERMX.dat,212.88,0.41,0.91,-13.32,-9.24,4.54,8944.53,6203.42,8158.58,-3044.62,17611954.29
18661665.24,0.22,-18.2543,-7.09,-13.22,315.9549,data_properties/JD_BASECASE_82_PORO.dat,data_properties/JD_BASECASE_82_PERMX.dat,215.14,0.34,0.94,-14.76,-10.89,5.4,9907.46,7309.6,8873.92,-3622.24,17554858.64
24118986.19,0.38,-18.9879,-6.91,-13.38,319.3215,data_properties/JD_BASECASE_87_PORO.dat,data_properties/JD_BASECASE_87_PERMX.dat,212.98,0.41,0.91,-14.79,-10.23,5.11,9929.4,6867.12,8983.59,-3433.6,15851418.78
15768175.3,0.39,-18.6927,-6.57,-12.85,315.3885,data_properties/JD_BASECASE_88_PORO.dat,data_properties/JD_BASECASE_88_PERMX.dat,223.53,0.05,1,-12.47,-11.89,5.6,8371.26,7984.73,8629.18,-3761.69,16745128.96
21566389.83,0.2,-17.044,-6.93,-13.31,312.2804,data_properties/JD_BASECASE_90_PORO.dat,data_properties/JD_BASECASE_90_PERMX.dat,213.69,0.38,0.92,-14.04,-10.09,4.74,9423.9,6772.86,8936.6,-3182.73,17913277.65
20312984.89,0.35,-18.3051,-5.93,-13.79,317.1296,data_properties/JD_BASECASE_96_PORO.dat,data_properties/JD_BASECASE_96_PERMX.dat,211.67,0.45,0.89,-14.29,-9.11,5.16,9592.01,6114.38,9259.03,-3462.12,17395719.89
23727889.32,0.33,-19.4696,-6.9,-12.82,315.2157,data_properties/JD_BASECASE_97_PORO.dat,data_properties/JD_BASECASE_97_PERMX.dat,221.79,0.11,0.99,-13.56,-12.22,5.96,9104.52,8204.98,8604.77,-3999.31,15868915.55
16945708.95,0.27,-19.1848,-6.71,-13.33,305.7556,data_properties/JD_BASECASE_98_PORO.dat,data_properties/JD_BASECASE_98_PERMX.dat,219.97,0.17,0.98,-13.44,-11.44,5.64,9022.07,7679.11,8950.34,-3786.31,18207377.1
24107514.03,0.31,-18.8338,-6.59,-13.66,315.0547,data_properties/JD_BASECASE_100_PORO.dat,data_properties/JD_BASECASE_100_PERMX.dat,224.69,0.01,1,-12.23,-12.11,5.57,8210.29,8128.33,9168.25,-3742.19,15970402.41
21340411.4,0.35,-18.7404,-6.32,-11.58,311.3648,data_properties/JD_BASECASE_105_PORO.dat,data_properties/JD_BASECASE_105_PERMX.dat,214.58,0.36,0.93,-13.3,-9.64,4.81,8930,6469.69,7775.62,-3230.88,16864613.16
22884268.93,0.29,-19.2865,-7.02,-13,311.4492,data_properties/JD_BASECASE_109_PORO.dat,data_properties/JD_BASECASE_109_PERMX.dat,226.73,-0.06,1,-11.66,-12.25,4.93,7826.04,8225.77,8724.26,-3306.81,16884251.51
16507107.58,0.25,-17.8158,-6,-12.39,319.2961,data_properties/JD_BASECASE_115_PORO.dat,data_properties/JD_BASECASE_115_PERMX.dat,220.31,0.16,0.99,-12.27,-10.51,5.32,8237.49,7057.64,8317.76,-3573.33,16425654.47
24829949.94,0.32,-18.1035,-6.29,-11.63,319.5606,data_properties/JD_BASECASE_123_PORO.dat,data_properties/JD_BASECASE_123_PERMX.dat,222.66,0.08,1,-12.27,-11.37,5.5,8234.6,7629.94,7806.33,-3694.07,17477014.75
22489048.28,0.23,-18.7658,-5.85,-13.13,319.6593,data_properties/JD_BASECASE_125_PORO.dat,data_properties/JD_BASECASE_125_PERMX.dat,229.26,-0.15,0.99,-11.52,-13.49,6.58,7734.86,9058.29,8817.26,-4418.75,16555461.63
17270689.72,0.34,-19.2987,-6.04,-11.81,313.5779,data_properties/JD_BASECASE_126_PORO.dat,data_properties/JD_BASECASE_126_PERMX.dat,226.44,-0.05,1,-11.35,-11.91,5.58,7617,7994.95,7930.62,-3746.05,16310350.57
22068353.51,0.24,-16.8584,-6.65,-12.55,310.4587,data_properties/JD_BASECASE_129_PORO.dat,data_properties/JD_BASECASE_129_PERMX.dat,224.31,0.02,1,-12.47,-12.19,5.68,8370.28,8185.31,8422.78,-3815.53,16412344.47
17027837.17,0.31,-16.442,-6.99,-13.11,315.5393,data_properties/JD_BASECASE_130_PORO.dat,data_properties/JD_BASECASE_130_PERMX.dat,216.62,0.29,0.96,-13.7,-10.7,4.99,9199.91,7180.9,8799.59,-3351.63,17517911.61
17123411.64,0.21,-16.3673,-6.84,-12.5,317.3631,data_properties/JD_BASECASE_131_PORO.dat,data_properties/JD_BASECASE_131_PERMX.dat,212.42,0.43,0.91,-14.08,-9.76,4.59,9452.36,6553.48,8391.77,-3084.68,18099479.41
16220476.16,0.22,-17.8999,-6.44,-13.84,316.4805,data_properties/JD_BASECASE_134_PORO.dat,data_properties/JD_BASECASE_134_PERMX.dat,227.22,-0.08,1,-12.41,-13.41,6.45,8328.88,9001.1,9292.13,-4330.1,17159175.47
18026556.43,0.2,-17.4717,-6.96,-13.47,310.5293,data_properties/JD_BASECASE_135_PORO.dat,data_properties/JD_BASECASE_135_PERMX.dat,214.06,0.37,0.93,-14.69,-10.5,5.23,9864.33,7046.65,9042.23,-3508.75,17357034.46
17479659.08,0.29,-16.2581,-6.73,-12.62,312.3288,data_properties/JD_BASECASE_140_PORO.dat,data_properties/JD_BASECASE_140_PERMX.dat,223.77,0.04,1,-13.26,-12.72,6.26,8901.09,8540.48,8474.33,-4199.75,17770961.56
16083636.97,0.4,-17.7623,-6.03,-13.63,303.1819,data_properties/JD_BASECASE_141_PORO.dat,data_properties/JD_BASECASE_141_PERMX.dat,214.84,0.35,0.94,-14.98,-10.36,6.23,10053.6,6956.38,9150.7,-4182.65,15758476.34
19854880.95,0.36,-18.2291,-6.33,-13.15,317.0588,data_properties/JD_BASECASE_144_PORO.dat,data_properties/JD_BASECASE_144_PERMX.dat,222.8,0.08,1,-12.79,-11.87,5.98,8587.76,7970.38,8831.08,-4016.23,15590512.26
16774974.12,0.21,-17.2757,-5.88,-12.34,310.5508,data_properties/JD_BASECASE_146_PORO.dat,data_properties/JD_BASECASE_146_PERMX.dat,212.07,0.44,0.9,-14.15,-9.13,5.18,9499.64,6128.6,8284.79,-3477.76,17295894.37
19124121.86,0.21,-18.7593,-6.15,-12.05,302.18,data_properties/JD_BASECASE_147_PORO.dat,data_properties/JD_BASECASE_147_PERMX.dat,220.09,0.17,0.99,-12.21,-10.44,5.1,8193.74,7008.16,8086.25,-3421.8,15663455.92
21980111.4,0.26,-19.5101,-6.58,-12.3,318.465,data_properties/JD_BASECASE_150_PORO.dat,data_properties/JD_BASECASE_150_PERMX.dat,214.94,0.34,0.94,-13.93,-10.17,5.13,9349.21,6825.1,8258.74,-3444.19,17442133.91
20619864.82,0.32,-17.9582,-7.07,-12.12,319.8908,data_properties/JD_BASECASE_152_PORO.dat,data_properties/JD_BASECASE_152_PERMX.dat,217.85,0.25,0.97,-13.68,-11.06,5.14,9186.65,7428.23,8139,-3448.51,16111516.82
23290539.45,0.29,-19.6779,-6.68,-12.72,308.4494,data_properties/JD_BASECASE_153_PORO.dat,data_properties/JD_BASECASE_153_PERMX.dat,214.24,0.37,0.93,-15.01,-10.54,5.67,10074.62,7073.52,8539.39,-3804.09,18351489.63
23016967.24,0.38,-18.175,-5.95,-13.08,312.478,data_properties/JD_BASECASE_156_PORO.dat,data_properties/JD_BASECASE_156_PERMX.dat,227.6,-0.09,1,-11.38,-12.46,5.95,7640.6,8367.37,8779.74,-3993,18558396.82
19545250.9,0.22,-18.5001,-6.56,-13.46,303.0216,data_properties/JD_BASECASE_158_PORO.dat,data_properties/JD_BASECASE_158_PERMX.dat,216.41,0.3,0.96,-14.29,-10.76,5.71,9594.69,7226.07,9035.2,-3830.88,17662602.41
23486982.69,0.36,-19.7348,-6.89,-11.84,310.5412,data_properties/JD_BASECASE_159_PORO.dat,data_properties/JD_BASECASE_159_PERMX.dat,227.34,-0.08,1,-11.9,-12.79,5.44,7989.6,8588.13,7949.1,-3652.74,16485499.78
16645965.41,0.25,-18.9881,-6.06,-12.43,319.7969,data_properties/JD_BASECASE_160_PORO.dat,data_properties/JD_BASECASE_160_PERMX.dat,217.44,0.26,0.97,-13.29,-10.3,5.54,8924.07,6915.72,8348.02,-3717.35,16823497.63
15186127.08,0.38,-16.5011,-6.47,-11.7,304.3822,data_properties/JD_BASECASE_162_PORO.dat,data_properties/JD_BASECASE_162_PERMX.dat,221.01,0.14,0.99,-13.39,-11.7,6.01,8986.64,7853.43,7852.63,-4037.24,16646373.63
18415715.67,0.29,-18.4154,-6.61,-12.27,317.6722,data_properties/JD_BASECASE_163_PORO.dat,data_properties/JD_BASECASE_163_PERMX.dat,229.42,-0.15,0.99,-11.49,-13.27,5.71,7716.03,8908.79,8239.27,-3831.67,18267117.29
24891053.37,0.33,-19.1128,-6.42,-12.24,314.542,data_properties/JD_BASECASE_164_PORO.dat,data_properties/JD_BASECASE_164_PERMX.dat,223.84,0.04,1,-12.24,-11.79,5.58,8214.96,7911.96,8214.63,-3747.41,18452113.09
19364173.76,0.34,-18.3253,-6.39,-12.05,314.7826,data_properties/JD_BASECASE_166_PORO.dat,data_properties/JD_BASECASE_166_PERMX.dat,228.96,-0.14,0.99,-12.09,-13.92,6.56,8119.38,9344.15,8090.59,-4401.05,17071729.82
16836171.44,0.28,-19.0204,-6.8,-13.83,319.155,data_properties/JD_BASECASE_169_PORO.dat,data_properties/JD_BASECASE_169_PERMX.dat,225.36,-0.01,1,-13.09,-13.24,6.36,8785.46,8891.65,9283.56,-4272.67,15676096.13
22892843.83,0.26,-17.6226,-6.5,-11.95,313.5583,data_properties/JD_BASECASE_171_PORO.dat,data_properties/JD_BASECASE_171_PERMX.dat,227.97,-0.1,0.99,-11.14,-12.21,5.14,7477.99,8197.63,8021.25,-3453.22,18673581.95
24427701.01,0.34,-17.2153,-6.74,-11.53,310.5318,data_properties/JD_BASECASE_176_PORO.dat,data_properties/JD_BASECASE_176_PERMX.dat,225.23,-0.01,1,-13.08,-13.18,6.39,8777.71,8847.3,7742.07,-4290.03,15729271.16
22361883.2,0.3,-18.6776,-6.25,-11.86,316.1397,data_properties/JD_BASECASE_181_PORO.dat,data_properties/JD_BASECASE_181_PERMX.dat,220.83,0.15,0.99,-12.05,-10.58,5.01,8087.45,7100.21,7959.41,-3363.48,16374605.63
15975249,0.2,-16.65,-7.04,-11.5,313.1254,data_properties/JD_BASECASE_185_PORO.dat,data_properties/JD_BASECASE_185_PERMX.dat,215.71,0.32,0.95,-13.09,-10.17,4.35,8787.48,6824.92,7717.56,-2917.55,16926734.68
17907635.08,0.34,-18.4663,-6.63,-11.45,316.8156,data_properties/JD_BASECASE_187_PORO.dat,data_properties/JD_BASECASE_187_PERMX.dat,228.75,-0.13,0.99,-10.95,-12.24,4.92,7349.67,8219.3,7689.76,-3304.49,17966014.12
16363559.64,0.4,-18.2899,-6.76,-12.88,319.4795,data_properties/JD_BASECASE_189_PORO.dat,data_properties/JD_BASECASE_189_PERMX.dat,218.77,0.22,0.98,-14.67,-11.86,6.35,9846.13,7962.77,8644.24,-4264.26,15300536.5
20924325.53,0.31,-17.3289,-6.1,-13.01,313.6058,data_properties/JD_BASECASE_190_PORO.dat,data_properties/JD_BASECASE_190_PERMX.dat,213.94,0.38,0.93,-14.19,-9.76,5.44,9525.37,6554.71,8735.24,-3652.81,17408475.13
17668781.37,0.27,-16.898,-6.5,-12.47,312.47,data_properties/JD_BASECASE_193_PORO.dat,data_properties/JD_BASECASE_193_PERMX.dat,210.82,0.48,0.88,-15.74,-9.78,5.51,10564.21,6568.41,8372.53,-3699.71,16067885.14
23335499.95,0.31,-19.6167,-6.26,-12.77,310.5295,data_properties/JD_BASECASE_194_PORO.dat,data_properties/JD_BASECASE_194_PERMX.dat,221.18,0.13,0.99,-13.3,-11.65,6.16,8928.93,7819.85,8575.1,-4133.39,18000124.95
24592116.34,0.3,-17.3129,-5.92,-12.21,300.9141,data_properties/JD_BASECASE_197_PORO.dat,data_properties/JD_BASECASE_197_PERMX.dat,211.78,0.45,0.9,-15.45,-9.58,5.9,10370.73,6430.55,8197.62,-3962.91,17052403.98
16276499.15,0.3,-19.7089,-5.99,-13.53,303.0098,data_properties/JD_BASECASE_198_PORO.dat,data_properties/JD_BASECASE_198_PERMX.dat,222.25,0.1,1,-13.5,-12.18,6.81,9060.04,8178.87,9083.68,-4575.02,18413215.01
20519907.95,0.39,-17.8907,-6.28,-12.94,318.3166,data_properties/JD_BASECASE_199_PORO.dat,data_properties/JD_BASECASE_199_PERMX.dat,217.56,0.26,0.97,-14.12,-10.92,6.03,9477.78,7327.78,8689.28,-4047.01,17874780.55
19323555.92,0.25,-17.7891,-6.86,-12.75,300.8569,data_properties/JD_BASECASE_200_PORO.dat,data_properties/JD_BASECASE_200_PERMX.dat,226.6,-0.06,1,-12.9,-13.62,6.39,8663.21,9142.3,8557.91,-4290.4,18135943.18
